,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,threshold,network_speed,runtime,latency
0,4aa4db9e047aeee70ad32360d3cd3658,select,1685294311,473439284,0,0.0069466459659385,0,1,9468785680,1,230A,,2024-04-14 12:14:19,0.2809238012077998,5.618476024155997,0.0002640612622128,2.03,False,False,normal,False,False,0,1,immediate,4aa4db9e047aeee70ad32360d3cd3658,1192.965565217391,17179869184.0,0.3001037484347056,0.3001037484347056
1,6831f93208a2e701c9189bd7168b0c45,insert,530971838,0,155941334,0.0074146459500608,0,1,0,1,1186A,2142A,2024-04-14 12:14:41,0.0,0.0,0.0007921837866385,1.84,False,False,normal,False,False,0,0,immediate,6831f93208a2e701c9189bd7168b0c45,1192.965565217391,17179869184.0,0.04369093196780072,
2,226c5b151bb91c26a15693e19f761a53,select,2058523242,329804522,0,0.0067609554095657,0,1,6596090440,1,20A,,2024-04-14 12:14:53,0.1602141356828071,3.2042827136561423,0.0006161429451632,1.91,True,True,normal,False,False,1,1,immediate,226c5b151bb91c26a15693e19f761a53,1192.965565217391,17179869184.0,0.8412200153109847,0.8412200153109847
3,6bf6b19dd7ba8a67a81fa101afece7b8,delete,273566182,0,2608279,0.0073388644654176,0,1,0,1,9A,24A,2024-04-14 12:14:54,0.0,0.0,8.802042073761112e-05,1.42,False,False,normal,True,False,0,0,immediate,6bf6b19dd7ba8a67a81fa101afece7b8,1192.965565217391,17179869184.0,0.019896723431156147,
4,7951eaf8ef203083d5af297911d6a307,delete,5891386882,0,3043727,0.0071779041545127,0,2,0,1,"300677A,1043A",15A,2024-04-14 12:14:56,0.0,0.0,0.0002640612622128,2.28,False,False,normal,True,False,0,0,immediate,7951eaf8ef203083d5af297911d6a307,1192.965565217391,17179869184.0,0.3468671384730207,
5,d5dc4df5020a8ef1ca90dc005051f227,select,3992497705,220918964,0,0.0131118162679772,0,1,4418379280,1,29050A,,2024-04-14 12:14:56,0.0553335231034278,1.106670462068556,8.802042073761112e-05,3.29,False,False,normal,False,False,0,1,immediate,d5dc4df5020a8ef1ca90dc005051f227,1192.965565217391,17179869184.0,0.35299063461229496,0.35299063461229496
6,ccf839969a672d09388bdd4a6d10c8d7,select,3516654456,702442182,0,0.0121375964427151,0,2,21073265460,1,"476A,229617A",,2024-04-14 12:14:57,0.1997472856059304,5.992418568177913,8.802042073761112e-05,3.52,False,False,normal,False,False,0,1,immediate,ccf839969a672d09388bdd4a6d10c8d7,1192.965565217391,17179869184.0,0.3927920264007939,0.3927920264007939
7,7c083aa4ebfbbd5c7cd98e2eab84fba7,delete,1920229469,0,11108837,0.012244273055931,0,2,0,1,"2245A,228623A",598A,2024-04-14 12:15:04,0.0,0.0,0.0002640612622128,2.61,False,False,normal,True,False,0,0,immediate,7c083aa4ebfbbd5c7cd98e2eab84fba7,1192.965565217391,17179869184.0,0.11918744117004304,
8,07b3d67d5f8f74e812590ee4c848d9c9,select,1541666657,158679744,0,0.0069151363926374,0,1,3173594880,1,34A,,2024-04-14 12:15:11,0.1029274021588961,2.058548043177923,0.0002640612622128,1.69,False,False,normal,False,False,0,1,immediate,07b3d67d5f8f74e812590ee4c848d9c9,1192.965565217391,17179869184.0,0.2868752115367822,0.2868752115367822
9,70eeb709cb2cdafb169a3e11df120a61,delete,1567672169,0,2071153,0.0043271633184086,0,2,0,1,"2047A,228938A",1117A,2024-04-14 12:15:16,0.0,0.0,8.802042073761112e-05,1.06,False,False,normal,True,False,0,0,immediate,70eeb709cb2cdafb169a3e11df120a61,1192.965565217391,17179869184.0,0.0936552256388841,
