,model,compute,storage,pending,cache_size,total_cost
0,one-off,0.09826862426625897,0.0,0.0,2,0.09826862426625897
1,hybrid,0.07595748157187739,0.0053996875,0.0009896851740306605,2,0.0813550025796868
2,eager,0.08122336968608954,0.0051746875000000005,0.0,2,0.08639755700954702
3,lazy,0.07733193791015446,0.005399500000000001,0.0015233536313174099,2,0.08273025036825223
4,one-off,0.09826862426625897,0.0,0.0,4,0.09826862426625897
5,hybrid,0.05751898112151335,0.010799375,0.0009896851740306605,4,0.06832135721769567
6,eager,0.0690261061079745,0.010349375000000001,0.0,4,0.0793779236492364
7,lazy,0.0591751881518191,0.010799000000000001,0.0015233536313174099,4,0.06997166781657399
8,one-off,0.09826862426625897,0.0,0.0,8,0.09826862426625897
9,hybrid,0.045558947963375944,0.02159875,0.0009896851740306605,8,0.06715831402485219
10,eager,0.057105285730229036,0.020698750000000002,0.0,8,0.07780507016500368
11,lazy,0.04549769131097276,0.021598000000000003,0.0015233536313174099,8,0.06709320484304081
12,one-off,0.09826862426625897,0.0,0.0,16,0.09826862426625897
13,hybrid,0.04557544524850465,0.0431975,0.0009896851740306605,16,0.08876989097402066
14,eager,0.05326293761748921,0.041397500000000004,0.0,16,0.09465486566077352
15,lazy,0.04511416335207553,0.043196000000000005,0.0015233536313174099,16,0.08830743683946005
16,one-off,0.09826862426625897,0.0,0.0,32,0.09826862426625897
17,hybrid,0.04556614146746018,0.086395,0.0009896851740306605,32,0.13196167945479334
18,eager,0.05325788858871323,0.08279500000000001,0.0,32,0.1360533575440809
19,lazy,0.04511489845482166,0.08639200000000001,0.0015233536313174099,32,0.13150509242360212
