ratio_cat,ratio,bytes_scanned,write_volume,write_frequency,repetitiveness,speedup,cost_reduction
high,,2404593615.0,0.0,0.01,0.2,0.14117216916344702,-0.049698707148164246
high,0.009273927,3059390000.0,0.0,0.1,0.2,0.08682877675758265,-0.09914037498083768
high,0.004785537,4333219362.0,0.0,0.3,0.2,-0.009240987223584666,-0.1643299014346497
high,0.004414939,4796677516.5,0.0,0.5,0.2,-0.1933526783978539,-0.36565890975193027
high,0.002673958,7064044616.0,12626699.0,0.8,0.2,-0.13141736302606807,-0.2699590053825506
high,0.0019354,2317778876.0,0.0,0.01,0.4,0.3850699795070695,0.2215835970346541
high,0.008318623,3250331644.0,0.0,0.1,0.4,0.20220818573656726,0.030644570748318584
high,0.005882232,3890163611.0,0.0,0.3,0.4,-0.005972177615698404,-0.17336101537953083
high,0.00421794,4561497817.0,781455.0,0.5,0.4,-0.1551646182869003,-0.3452035531369855
high,0.002930401,6866212564.0,13014458.0,0.8,0.4,-0.16949150178445574,-0.31200646244042546
high,0.053898794,2403833831.0,0.0,0.01,0.6,0.5782979546730219,0.34967043002581666
high,0.007390782,3685331688.0,0.0,0.1,0.6,0.3924196788482657,0.1987325360897483
high,0.005081274,4041117308.5,0.0,0.3,0.6,0.13120707148850821,-0.04198577105253979
high,0.003228728,6566072116.0,498215.0,0.5,0.6,-0.07615039847993232,-0.21768844673664467
high,0.003140854,7455535914.0,14161370.0,0.8,0.6,-0.12720214957180986,-0.259388660047591
high,,2373241583.0,0.0,0.01,0.8,0.7722640563094153,0.5608331112058975
high,0.003635039,3334723234.0,0.0,0.1,0.8,0.6481482571053704,0.43842828844565157
high,0.004783832,3437654437.0,0.0,0.3,0.8,0.4676214896514383,0.2879496106947574
high,0.003896781,4893354188.0,522678.0,0.5,0.8,0.09008461287024767,-0.09992747840392929
high,0.00225974,7400567989.0,13399994.0,0.8,0.8,-0.08160595286981294,-0.2088794891799628
high,,1325229569.0,0.0,0.01,0.99,0.9879883097276366,0.875769878736466
high,,1325229569.0,0.0,0.1,0.99,0.9879883097276366,0.875769878736466
high,,1325229569.0,0.0,0.3,0.99,0.9879883097276366,0.875769878736466
high,0.003589166,2740828822.5,0.0,0.5,0.99,0.7791060728763352,0.5472786126606185
high,0.00978934,4198868953.5,12855648.0,0.8,0.99,0.0853220842698651,-0.09298525972524656
medium,,2404593615.0,0.0,0.01,0.2,0.14117216916344702,-0.049698707148164246
medium,0.003719234,2600500241.0,0.0,0.1,0.2,0.1363602818535018,-0.057369319853922594
medium,0.002620877,2990109286.0,0.0,0.3,0.2,0.0988853930795107,-0.071893821363341
medium,0.0027166,2943925701.0,0.0,0.5,0.2,0.029715934557392992,-0.18600720063367002
medium,0.002135794,3591275671.5,5660764.0,0.8,0.2,-0.03103424461693718,-0.22154425797095265
medium,0.001203781,2317778876.0,0.0,0.01,0.4,0.3854022064792291,0.22187663853754544
medium,0.003087446,3071040184.0,0.0,0.1,0.4,0.2588849544268631,0.08227258476912003
medium,0.00302549,2777189344.0,0.0,0.3,0.4,0.1506187225869073,-0.03316366516658411
medium,0.002652858,2741351215.0,844862.0,0.5,0.4,0.051645503966620175,-0.18044962639250092
medium,0.00233212,3499415820.0,5779038.0,0.8,0.4,-0.017358511907935817,-0.2164695108246566
medium,0.010891364,2403713023.0,0.0,0.01,0.6,0.5812908165339375,0.35258923269039677
medium,0.002852253,3367303973.0,0.0,0.1,0.6,0.48835986599571557,0.28697542925434727
medium,0.002864437,3037508733.0,0.0,0.3,0.6,0.2802372910984429,0.09162360518170391
medium,0.002504065,3256208635.0,621076.0,0.5,0.6,0.2640949073700772,0.0644801619861569
medium,0.002032496,3625365793.0,6122525.0,0.8,0.6,-0.013420119037324476,-0.2070686681897597
medium,,2373241583.0,0.0,0.01,0.8,0.7722640563094153,0.5608331112058975
medium,0.001700649,3233298030.0,0.0,0.1,0.8,0.6842196545416256,0.47147737131799744
medium,0.002475794,2809533505.5,0.0,0.3,0.8,0.5558477738088451,0.3669709462660881
medium,0.002929321,2560274484.0,641766.0,0.5,0.8,0.3602657953155198,0.1119456834099354
medium,0.001670488,3755590049.0,5895532.0,0.8,0.8,0.0615847397662699,-0.10993484347226608
medium,,1325229569.0,0.0,0.01,0.99,0.9879883097276366,0.875769878736466
medium,,1325229569.0,0.0,0.1,0.99,0.9879883097276366,0.875769878736466
medium,,1325229569.0,0.0,0.3,0.99,0.9879883097276366,0.875769878736466
medium,0.002463907,1989404718.0,0.0,0.5,0.99,0.8567747441817989,0.5931964915723856
medium,0.005417916,2385987015.5,5730735.0,0.8,0.99,0.11746055510090851,-0.1052281820739025
low,,2404593615.0,0.0,0.01,0.2,0.14117216916344702,-0.049698707148164246
low,0.000135342,2523527166.0,0.0,0.1,0.2,0.15210622861558915,-0.04419045773111211
low,0.000116535,2655449375.0,0.0,0.3,0.2,0.12833040128727297,-0.047360532592086446
low,0.000121855,2447543043.5,0.0,0.5,0.2,0.0858150168112982,-0.14389870656946832
low,0.000119132,2702226416.0,255882.0,0.8,0.2,0.006073529787547195,-0.20375371662991557
low,7.5239e-05,2317778876.0,0.0,0.01,0.4,0.38575319641465905,0.22219785033842795
low,0.000113071,2971438372.0,0.0,0.1,0.4,0.2781323784627557,0.09969815863694742
low,0.000132364,2559349247.0,0.0,0.3,0.4,0.19779452642927922,0.008638452116029762
low,0.000138753,2189059548.0,91268.0,0.5,0.4,0.12371375588540147,-0.12532416881121441
low,0.000116483,2685300980.0,258766.0,0.8,0.4,0.03613208424786182,-0.18420527862120317
low,0.00023525,2403713023.0,0.0,0.01,0.6,0.582492327544133,0.35376073219289506
low,0.000103792,3277686166.0,0.0,0.1,0.6,0.5204689976126065,0.3164889955991026
low,0.000125834,2687607126.5,0.0,0.3,0.6,0.3299118586695345,0.13615948875734551
low,0.000115055,2403833831.0,77248.0,0.5,0.6,0.368900353053539,0.15222581022332035
low,0.000106127,2507192247.0,266991.0,0.8,0.6,0.03394053835455205,-0.18267315620618718
low,,2373241583.0,0.0,0.01,0.8,0.7722640563094153,0.5608331112058975
low,7.9341e-05,3172766778.0,0.0,0.1,0.8,0.6996581040111002,0.4856321249016553
low,0.000107008,2602075595.5,0.0,0.3,0.8,0.5851854767340593,0.3931403386271805
low,0.00014825,2083519119.0,78632.0,0.5,0.8,0.4534527722869177,0.18606314625341494
low,7.8771e-05,2858903609.0,261580.0,0.8,0.8,0.11093145084974276,-0.07634386096637895
low,,1325229569.0,0.0,0.01,0.99,0.9879883097276366,0.875769878736466
low,,1325229569.0,0.0,0.1,0.99,0.9879883097276366,0.875769878736466
low,,1325229569.0,0.0,0.3,0.99,0.9879883097276366,0.875769878736466
low,0.000129293,1916198363.0,0.0,0.5,0.99,0.8877335995305833,0.6115142057534919
low,0.00023969,1612549945.5,257591.0,0.8,0.99,0.1315620258406599,-0.11085839459077702
