,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime,size
944,b0aa5272b81fedcfcf65719ca900eeda,insert,34534900199,0.0,326765,0.03849134321021526,0,1,0.0,1,2A,5A,2024-04-14 12:21:59,0.0,0.0,0.0,0.41,False,False,False,False,0,1,normal,immediate,b0aa5272b81fedcfcf65719ca900eeda,17179869184.0,2.0313384813376487,2.0310238387391792,
873,e6f1ddfeda05164f838cf85006193095,insert,345149745,0.0,628422,0.0020636660781711753,0,1,0.0,1,4A,7A,2024-04-14 12:25:55,0.0,0.0,0.002074688796680498,0.36,False,False,False,False,0,1,normal,immediate,e6f1ddfeda05164f838cf85006193095,17179869184.0,0.02240961342523535,0.02236410134790883,
74,334283e482c6c7d18cf9e3af19bc3319,insert,147008767,0.0,289068,0.0018631101004324341,0,2,0.0,1,"4A,3A",3A,2024-04-14 12:33:12,0.0,0.0,0.0031120331950207467,0.17,False,False,False,False,0,1,normal,immediate,334283e482c6c7d18cf9e3af19bc3319,17179869184.0,0.010598315990040111,0.010628103834055307,
518,00f95fa9563ad2d9d0ee11ae2c2023e9,insert,2834150613,0.0,260824,0.012065374359824108,0,1,0.0,1,2A,7A,2024-04-14 12:34:40,0.0,0.0,0.002074688796680498,0.18,False,False,False,False,0,1,normal,immediate,00f95fa9563ad2d9d0ee11ae2c2023e9,17179869184.0,0.17221292504845528,0.17220606469275085,
176,d506687960e7c8e9a2e87837e95b4fab,insert,845016923,0.0,242608,0.004671342304417094,0,1,0.0,1,8A,5A,2024-04-14 12:40:47,0.0,0.0,0.0031120331950207467,0.15,False,False,False,False,0,1,normal,immediate,d506687960e7c8e9a2e87837e95b4fab,17179869184.0,0.053443822073318915,0.05278070883604146,
529,63b19168043d79d20218005a3338cf37,select,1479752962,69287.0,0,0.011253743497622721,0,1,1385740.0,1,6A,,2024-04-14 12:42:57,4.6823356181259666e-05,0.0009364671236251933,0.001037344398340249,0.03,True,True,False,False,1,0,normal,immediate,63b19168043d79d20218005a3338cf37,17179869184.0,0.09456974723506331,0.0944579028315981,1455027.0
581,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538.0,0,0.009730786268060239,0,2,76140.0,1,"1A,0A",,2024-04-14 12:44:25,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,False,False,0,0,normal,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32347759997771175,0.32347759997771175,78678.0
771,943192c106b81d175d8a9480280b717d,select,10780371948,2635.0,0,0.016156768601880367,0,1,52700.0,1,0A,,2024-04-14 12:44:41,2.444257037428891e-07,4.888514074857782e-06,0.001037344398340249,0.08,True,True,False,False,1,0,normal,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6371030926829825,0.6374686157006724,55335.0
493,2b576d437ec2671d1cc288138a31b803,insert,1424367979,0.0,138141,0.0055016972024324855,0,1,0.0,1,1A,7A,2024-04-14 12:45:17,0.0,0.0,0.002074688796680498,0.09,False,False,False,False,0,1,normal,immediate,2b576d437ec2671d1cc288138a31b803,17179869184.0,0.08693797724971052,0.08721052308329952,
700,6f45052814dd4fd00798d27103a46156,select,1208773679,88095.0,0,0.008322238434354035,0,1,1761900.0,1,4A,,2024-04-14 12:47:08,7.287964780378048e-05,0.0014575929560756095,0.002074688796680498,0.02,True,True,False,False,1,0,normal,immediate,6f45052814dd4fd00798d27103a46156,17179869184.0,0.07799471121207435,0.07768536248780894,1849995.0
