,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,threshold,network_speed,total_runtime,runtime
0,63b19168043d79d20218005a3338cf37,select,1479752962,69287,0,0.011253743497622721,0,1,1385740,1,6A,,2024-04-14 12:42:57,4.6823356181259666e-05,0.0009364671236251933,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,63b19168043d79d20218005a3338cf37,5.447391304347826,17179869184.0,0.09541308062337056,0.09623752033441504
1,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538,0,0.009730786268060239,0,2,76140,1,"1A,0A",,2024-04-14 12:44:25,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,normal,False,False,0,1,immediate,89df2c33ce0e4d46cf118748b0df6ad8,5.447391304347826,17179869184.0,0.32454508722726944,0.32518025536163875
2,943192c106b81d175d8a9480280b717d,select,10780371948,2635,0,0.016156768601880367,0,1,52700,1,0A,,2024-04-14 12:44:41,2.444257037428891e-07,4.888514074857782e-06,0.001037344398340249,0.08,True,True,normal,False,False,1,1,immediate,943192c106b81d175d8a9480280b717d,5.447391304347826,17179869184.0,0.6381338210761535,0.6384521007962501
3,6f45052814dd4fd00798d27103a46156,select,1208773679,88095,0,0.008322238434354035,0,1,1761900,1,4A,,2024-04-14 12:47:08,7.287964780378048e-05,0.0014575929560756095,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,6f45052814dd4fd00798d27103a46156,5.447391304347826,17179869184.0,0.07903231756103973,0.07897102089869598
4,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950,0,0.006549999315489203,0,1,2079000,1,6A,,2024-04-14 13:02:21,0.00011037850295417152,0.0022075700590834307,0.0031120331950207467,0.02,True,True,normal,False,False,1,1,immediate,6f548a390e487af7720fee4d4b771d7d,5.447391304347826,17179869184.0,0.06260022017442839,0.06259993951220591
5,786123a40229d18deef29222cc49a1c9,select,10235443288,2979,0,0.01720347102517239,0,1,59580,1,8A,,2024-04-14 13:03:06,2.910474823784691e-07,5.820949647569382e-06,0.001037344398340249,0.08,True,True,normal,False,False,1,1,immediate,786123a40229d18deef29222cc49a1c9,5.447391304347826,17179869184.0,0.6070119255966369,0.6078094297542258
6,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572,0,0.010625995408751612,0,1,191440,1,1A,,2024-04-14 13:09:16,6.1228789862964625e-06,0.00012245757972592923,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,7c7483072ac8260be91fe3eebda0e4ab,5.447391304347826,17179869184.0,0.09934099239778287,0.09849985400442142
7,b0aa5272b81fedcfcf65719ca900eeda,insert,34534900199,0,326765,0.03849134321021526,0,1,0,1,2A,5A,2024-04-14 13:11:41,0.0,0.0,0.0,0.41,False,False,normal,True,False,0,0,deferred,b0aa5272b81fedcfcf65719ca900eeda,5.447391304347826,17179869184.0,2.029721864295256,2.029721864295256
8,e6f1ddfeda05164f838cf85006193095,insert,345149745,0,628422,0.0020636660781711753,0,1,0,1,4A,7A,2024-04-14 13:11:41,0.0,0.0,0.002074688796680498,0.36,False,False,normal,True,False,0,0,deferred,e6f1ddfeda05164f838cf85006193095,5.447391304347826,17179869184.0,0.021661508935101895,0.021661508935101895
9,00f95fa9563ad2d9d0ee11ae2c2023e9,insert,2834150613,0,260824,0.012065374359824108,0,1,0,1,2A,7A,2024-04-14 13:11:41,0.0,0.0,0.002074688796680498,0.18,False,False,normal,True,False,0,0,deferred,00f95fa9563ad2d9d0ee11ae2c2023e9,5.447391304347826,17179869184.0,0.17122580619406194,0.17122580619406194
10,2b576d437ec2671d1cc288138a31b803,insert,1424367979,0,138141,0.0055016972024324855,0,1,0,1,1A,7A,2024-04-14 13:11:41,0.0,0.0,0.002074688796680498,0.09,False,False,normal,True,False,0,0,deferred,2b576d437ec2671d1cc288138a31b803,5.447391304347826,17179869184.0,0.08577853060333536,0.08577853060333536
11,9d47cf199c599870f935bae5e69c2332,insert,330642101,0,347248,0.005595994842315706,0,2,0,1,"9A,6A",7A,2024-04-14 13:11:41,0.0,0.0,0.002074688796680498,0.2,False,False,normal,True,False,0,0,deferred,9d47cf199c599870f935bae5e69c2332,5.447391304347826,17179869184.0,0.022341911613719175,0.022341911613719175
12,c83afa8e7e10b7a495f4326a61c852bb,insert,842131058,0,179350,0.0018476699854853035,0,2,0,1,"2A,9A",7A,2024-04-14 13:11:41,0.0,0.0,0.0,0.11,False,False,normal,True,False,0,0,deferred,c83afa8e7e10b7a495f4326a61c852bb,5.447391304347826,17179869184.0,0.050096233605491036,0.050096233605491036
13,777ca002621052e5e3642fe691ddb09d,insert,12009201841,0,331916,0.016973070868864723,0,1,0,1,1A,7A,2024-04-14 13:11:41,0.0,0.0,0.001037344398340249,0.27,False,False,normal,True,False,0,0,deferred,777ca002621052e5e3642fe691ddb09d,5.447391304347826,17179869184.0,0.7077989368907286,0.7077989368907286
14,d506687960e7c8e9a2e87837e95b4fab,insert,845016923,0,242608,0.004671342304417094,0,1,0,1,8A,5A,2024-04-14 13:11:41,0.0,0.0,0.0031120331950207467,0.15,False,False,normal,True,False,0,0,deferred,d506687960e7c8e9a2e87837e95b4fab,5.447391304347826,17179869184.0,0.05173033771653304,0.05173033771653304
15,d3c8ebdf7726a9c36689efbaedfcbe5f,insert,2870641374,0,118753,0.004246630961940328,0,1,0,1,2A,7A,2024-04-14 13:11:41,0.0,0.0,0.001037344398340249,0.09,False,False,normal,True,False,0,0,deferred,d3c8ebdf7726a9c36689efbaedfcbe5f,5.447391304347826,17179869184.0,0.16931854991728879,0.16931854991728879
16,089a30492cf8f1d48524a2250ccd6d75,insert,356058251,0,535436,0.006545086165404135,0,1,0,1,4A,5A,2024-04-14 13:11:41,0.0,0.0,0.001037344398340249,0.31,False,False,normal,True,False,0,0,deferred,089a30492cf8f1d48524a2250ccd6d75,5.447391304347826,17179869184.0,0.024457376299481196,0.024457376299481196
17,334283e482c6c7d18cf9e3af19bc3319,insert,147008767,0,289068,0.0018631101004324341,0,2,0,1,"4A,3A",3A,2024-04-14 13:11:41,0.0,0.0,0.0031120331950207467,0.17,False,False,normal,True,False,0,0,deferred,334283e482c6c7d18cf9e3af19bc3319,5.447391304347826,17179869184.0,0.009736671883184089,0.009736671883184089
18,1f38b4d192e3dc95167f32ba530f9870,insert,2609053706,0,615963,0.009782342450444308,0,1,0,1,4A,9A,2024-04-14 13:11:41,0.0,0.0,0.001037344398340249,0.37,False,False,normal,True,False,0,0,deferred,1f38b4d192e3dc95167f32ba530f9870,5.447391304347826,17179869184.0,0.15728670881453488,0.15728670881453488
19,a1198d957df20e2fc422b91ade00bd92,insert,8906727275,0,448671,0.018079790984822614,0,1,0,1,2A,3A,2024-04-14 13:11:41,0.0,0.0,0.001037344398340249,0.32,False,False,normal,True,False,0,0,deferred,a1198d957df20e2fc422b91ade00bd92,5.447391304347826,17179869184.0,0.5278647094537726,0.5278647094537726
20,3599077bb1b6c644e2c9c48848ad6273,select,2747986115,130203,0,0.0037093471472155626,0,1,2604060,2,1A,,2024-04-14 13:14:26,4.7381243773133115e-05,0.0009476248754626622,0.0031120331950207467,0.02,True,True,normal,False,False,1,1,immediate,3599077bb1b6c644e2c9c48848ad6273,5.447391304347826,17179869184.0,0.16726482145977326,0.16614777604597852
21,bbb43ff277401dfeb52b9f72eb6800d4,select,2055463569,4823,0,0.005044900353579094,0,1,96460,2,6A,,2024-04-14 13:27:33,2.346429327544068e-06,4.692858655088136e-05,0.001037344398340249,0.02,True,True,normal,False,False,1,1,immediate,bbb43ff277401dfeb52b9f72eb6800d4,5.447391304347826,17179869184.0,0.12519247425489274,0.125648372899273
22,6f548a390e487af7720fee4d4b771d7d,select,0,104030,0,0,0,1,2080628,2,3A,,2024-04-14 13:29:36,0.00011037850295417152,0.0022075700590834307,0.0031120331950207467,0.0,False,False,incremental,False,True,0,1,immediate,6f548a390e487af7720fee4d4b771d7d,5.447391304347826,1250000000.0,0.001648430879710867,0.002032411456920089
23,dd574a5a4590a485d36a2bf2cacd63ef,select,803740547,152,0,0.008213281540373618,0,2,4560,2,"4A,1A",,2024-04-14 13:46:31,1.8911575453963007e-07,5.673472636188902e-06,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,dd574a5a4590a485d36a2bf2cacd63ef,5.447391304347826,17179869184.0,0.05301750961680666,0.05422771653854708
24,d9b3f8ad7abc2f276e3f02b862ce0311,select,1666263312,81577,0,0.006023856202290278,0,1,1631562,2,3A,,2024-04-14 13:47:55,4.895871989111752e-05,0.0009791743978223503,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,d9b3f8ad7abc2f276e3f02b862ce0311,5.447391304347826,17179869184.0,0.10349273251935145,0.10419150372025979
25,42c9cb83b5e4638fec94702770056a3d,select,2788905887,66579,0,0.009792450162500679,0,1,1331580,2,4A,,2024-04-14 13:59:17,2.3872802703865495e-05,0.0004774560540773099,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,42c9cb83b5e4638fec94702770056a3d,5.447391304347826,17179869184.0,0.17183511493666456,0.17169180003736256
26,79781b5baec0dfd42720b1da69aaae7b,select,1001934598,42370,0,0.009055289670760922,0,1,847400,2,0A,,2024-04-14 14:05:27,4.228818935345319e-05,0.0008457637870690638,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,79781b5baec0dfd42720b1da69aaae7b,5.447391304347826,17179869184.0,0.06603179110510494,0.06658365515196042
27,436a6f818d593eecd8bb3aa6a9bfac26,insert,9404627494,0,372214,0.013233420211938986,0,2,0,2,"1A,9A",5A,2024-04-14 14:10:29,0.0,0.0,0.0031120331950207467,0.27,False,False,normal,True,False,0,0,deferred,436a6f818d593eecd8bb3aa6a9bfac26,5.447391304347826,17179869184.0,0.5543575152004935,0.5543575152004935
28,c8619c94ddafc767a3e4a486190c6eaa,insert,770959642,0,839783,0.005454401353356526,0,1,0,2,6A,5A,2024-04-14 14:10:29,0.0,0.0,0.0,0.48,False,False,normal,True,False,0,0,deferred,c8619c94ddafc767a3e4a486190c6eaa,5.447391304347826,17179869184.0,0.04832366630028738,0.04832366630028738
29,4a965ae4c2711bb3bf0a96f44b5e3996,insert,8114087131,0,311060,0.012723392154643314,0,1,0,2,4A,7A,2024-04-14 14:10:29,0.0,0.0,0.001037344398340249,0.23,False,False,normal,True,False,0,0,deferred,4a965ae4c2711bb3bf0a96f44b5e3996,5.447391304347826,17179869184.0,0.47893068249590304,0.47893068249590304
30,256836859579356e5d340cd180b8d663,insert,2488396465,0,435606,0.004501432254442387,0,2,0,2,"3A,9A",5A,2024-04-14 14:10:29,0.0,0.0,0.0,0.26,False,False,normal,True,False,0,0,deferred,256836859579356e5d340cd180b8d663,5.447391304347826,17179869184.0,0.14746829418655202,0.14746829418655202
31,4c69f6ef145ad936ba52e302fee0bcf5,insert,6282917474,0,173041,0.00960761019136554,0,2,0,2,"9A,2A",7A,2024-04-14 14:10:29,0.0,0.0,0.0,0.14,False,False,normal,True,False,0,0,deferred,4c69f6ef145ad936ba52e302fee0bcf5,5.447391304347826,17179869184.0,0.37066624008142607,0.37066624008142607
32,6f352765e37eef4c11e19ae27eaa75b7,insert,28083374301,0,365452,0.03318263924946428,0,1,0,2,4A,7A,2024-04-14 14:10:29,0.0,0.0,0.0,0.39,False,False,normal,True,False,0,0,deferred,6f352765e37eef4c11e19ae27eaa75b7,5.447391304347826,17179869184.0,1.6515724819494209,1.6515724819494209
33,334283e482c6c7d18cf9e3af19bc3319,insert,147746506,0,289068,0.0018631101004324341,0,2,0,2,"8A,3A",7A,2024-04-14 14:10:29,0.0,0.0,0.0031120331950207467,0.17,False,False,normal,True,False,0,0,deferred,334283e482c6c7d18cf9e3af19bc3319,5.447391304347826,17179869184.0,0.00977961394473873,0.00977961394473873
34,151bd9daa1ff0c3c17cca26ebe7fc4b6,insert,9692033026,0,98466,0.018406187006317895,0,2,0,2,"6A,0A",5A,2024-04-14 14:10:29,0.0,0.0,0.0,0.13,False,False,normal,True,False,0,0,deferred,151bd9daa1ff0c3c17cca26ebe7fc4b6,5.447391304347826,17179869184.0,0.5734381697182339,0.5734381697182339
35,aeec8d7ab1a47bb22d4bf5ea48a139f5,insert,1837660537,0,610613,0.012518291982254027,0,1,0,2,9A,7A,2024-04-14 14:10:29,0.0,0.0,0.0031120331950207467,0.37,False,False,normal,True,False,0,0,deferred,aeec8d7ab1a47bb22d4bf5ea48a139f5,5.447391304347826,17179869184.0,0.11374910015733679,0.11374910015733679
36,1636dd9b4b5cd272f9fc253046293ad8,insert,3045092935,0,202688,0.006419431838685508,0,1,0,2,0A,7A,2024-04-14 14:10:29,0.0,0.0,0.002074688796680498,0.14,False,False,normal,True,False,0,0,deferred,1636dd9b4b5cd272f9fc253046293ad8,5.447391304347826,17179869184.0,0.18063140132419322,0.18063140132419322
37,de6498835d44978324ad454dc41c6b75,insert,2823147414,0,155855,0.006032519374391734,0,2,0,2,"4A,9A",5A,2024-04-14 14:10:29,0.0,0.0,0.002074688796680498,0.11,False,False,normal,True,False,0,0,deferred,de6498835d44978324ad454dc41c6b75,5.447391304347826,17179869184.0,0.16747882302503195,0.16747882302503195
38,6551dccad9abcd764036cb335f826546,insert,509639031,0,791055,0.002103815664055048,0,2,0,2,"6A,2A",5A,2024-04-14 14:10:29,0.0,0.0,0.001037344398340249,0.45,False,False,normal,True,False,0,0,deferred,6551dccad9abcd764036cb335f826546,5.447391304347826,17179869184.0,0.03139569319794753,0.03139569319794753
39,176e67717b903d7d1c66a57602f1d042,insert,2254154587,0,447384,0.003865186199371096,0,1,0,2,9A,7A,2024-04-14 14:10:29,0.0,0.0,0.001037344398340249,0.27,False,False,normal,True,False,0,0,deferred,176e67717b903d7d1c66a57602f1d042,5.447391304347826,17179869184.0,0.13352560732248883,0.13352560732248883
40,10536673c9dfc75e3e890563e319583d,select,499639410,1903,0,0.0012715474070276425,0,1,38076,3,3A,,2024-04-14 14:16:29,3.8103700799190146e-06,7.62074015983803e-05,0.002074688796680498,0.0,True,True,normal,False,False,1,1,immediate,10536673c9dfc75e3e890563e319583d,5.447391304347826,17179869184.0,0.03203629277701833,0.03202404845026805
41,0d6243613647e1101a8d226743a74c4c,select,3361415229,262078,0,0.006304268845433431,0,1,5241560,3,8A,,2024-04-14 14:24:03,7.796656531420742e-05,0.0015593313062841484,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,0d6243613647e1101a8d226743a74c4c,5.447391304347826,17179869184.0,0.20585441650012012,0.2067044910015061
42,cd48e41daec7f6506239e0bf7e48069e,select,1199834589,39653,0,0.002547468765669022,0,1,793060,3,1A,,2024-04-14 14:42:28,3.304872218515447e-05,0.0006609744437030895,0.002074688796680498,0.01,True,True,normal,False,False,1,1,immediate,cd48e41daec7f6506239e0bf7e48069e,5.447391304347826,17179869184.0,0.07425915171570201,0.07378934264167174
43,7e010752dbf1d30944316010008eb5f1,select,4018926185,6716,0,0.007601851216432056,0,1,134320,3,8A,,2024-04-14 14:57:22,1.671093145494037e-06,3.342186290988074e-05,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,7e010752dbf1d30944316010008eb5f1,5.447391304347826,17179869184.0,0.24028181199589785,0.24161795226461466
44,bdc83d416235a709c3865757e1a9a1b8,select,27894258054,1974,0,0.03369168495395791,0,2,59220,3,"1A,6A",,2024-04-14 15:01:50,7.076725239217937e-08,2.123017571765381e-06,0.0031120331950207467,0.19,True,True,normal,False,False,1,1,immediate,bdc83d416235a709c3865757e1a9a1b8,5.447391304347826,17179869184.0,1.6432656752457062,1.64442358921502
45,ec03a575bc1856b2487941f530574be5,select,2554493399,107269,0,0.00781219322087749,0,1,2145380,3,2A,,2024-04-14 15:04:59,4.1992279190070436e-05,0.0008398455838014088,0.002074688796680498,0.03,True,True,normal,False,False,1,1,immediate,ec03a575bc1856b2487941f530574be5,5.447391304347826,17179869184.0,0.15785486146377112,0.15695868104360364
46,c86fbde9a005e2bd76de20f92c3a5e33,select,1163576432,46515,0,0.0015422035284539722,0,1,930312,3,9A,,2024-04-14 15:05:14,3.997642330867568e-05,0.0007995284661735136,0.001037344398340249,0.01,True,True,normal,False,False,1,1,immediate,c86fbde9a005e2bd76de20f92c3a5e33,5.447391304347826,17179869184.0,0.0720862394339739,0.07291755693243347
47,6658ab6d65044b7afd1b47414532d93a,insert,2611272132,0,307482,0.0035473685924007803,0,1,0,3,2A,3A,2024-04-14 15:13:42,0.0,0.0,0.0031120331950207467,0.19,False,False,normal,True,False,0,0,deferred,6658ab6d65044b7afd1b47414532d93a,5.447391304347826,17179869184.0,0.1540336105164365,0.1540336105164365
48,d8cb426abd2e5ccdc8c19d70c4ec96af,insert,1624636493,0,1045862,0.00493641852193386,0,1,0,3,3A,5A,2024-04-14 15:13:42,0.0,0.0,0.002074688796680498,0.6,False,False,normal,True,False,0,0,deferred,d8cb426abd2e5ccdc8c19d70c4ec96af,5.447391304347826,17179869184.0,0.09793206613381407,0.09793206613381407
49,5321de0eeb2b7180cacea678148ccbfa,insert,2837174787,0,530097,0.007924947391308673,0,1,0,3,1A,7A,2024-04-14 15:13:42,0.0,0.0,0.002074688796680498,0.32,False,False,normal,True,False,0,0,deferred,5321de0eeb2b7180cacea678148ccbfa,5.447391304347826,17179869184.0,0.16956271495601669,0.16956271495601669
50,c52a1f6f48f400812bc18afe43621cc4,insert,1690730649,0,339802,0.004165450590540833,0,2,0,3,"0A,2A",5A,2024-04-14 15:13:42,0.0,0.0,0.0031120331950207467,0.2,False,False,normal,True,False,0,0,deferred,c52a1f6f48f400812bc18afe43621cc4,5.447391304347826,17179869184.0,0.10078782228786282,0.10078782228786282
51,aeec8d7ab1a47bb22d4bf5ea48a139f5,insert,1837044574,0,610613,0.012518291982254027,0,1,0,3,2A,5A,2024-04-14 15:13:42,0.0,0.0,0.0031120331950207467,0.37,False,False,normal,True,False,0,0,deferred,aeec8d7ab1a47bb22d4bf5ea48a139f5,5.447391304347826,17179869184.0,0.11371324639189755,0.11371324639189755
52,1ed2f86dd58e1a90cee2f686d3d9d3d6,insert,896319663,0,589899,0.005412005292261248,0,1,0,3,3A,5A,2024-04-14 15:13:42,0.0,0.0,0.0031120331950207467,0.34,False,False,normal,True,False,0,0,deferred,1ed2f86dd58e1a90cee2f686d3d9d3d6,5.447391304347826,17179869184.0,0.055384929501073196,0.055384929501073196
53,80f3f72947e00fc8e1541325367f2106,insert,1334022332,0,429651,0.0018960343840837472,0,1,0,3,0A,2A,2024-04-14 15:13:42,0.0,0.0,0.0031120331950207467,0.25,False,False,normal,True,False,0,0,deferred,80f3f72947e00fc8e1541325367f2106,5.447391304347826,17179869184.0,0.07896706652381005,0.07896706652381005
54,5d74c98b5ed71b73838627d91982fe98,insert,3155813961,0,324879,0.007560265396782226,0,1,0,3,0A,7A,2024-04-14 15:13:42,0.0,0.0,0.001037344398340249,0.21,False,False,normal,True,False,0,0,deferred,5d74c98b5ed71b73838627d91982fe98,5.447391304347826,17179869184.0,0.18775149529293547,0.18775149529293547
55,,select,429651,18.042024746292952,0,0.00781219322087749,0,1,360.8404949258591,3,2A,,2024-04-14 15:13:42,4.1992279190070436e-05,0.0008398455838014088,0.002074688796680498,0.01,True,True,incremental,False,False,1,1,deferred,,5.447391304347826,1250000000.0,0.006676337822779292,0.006753277328516424
56,,select,307482,15.053925109560597,0,0.006023856202290278,0,1,301.07850219121195,3,3A,,2024-04-14 15:13:42,4.895871989111752e-05,0.0009791743978223503,0.002074688796680498,0.01,True,True,incremental,False,False,1,1,deferred,,5.447391304347826,1250000000.0,0.007247199584732841,0.006775258014483465
57,,select,307482,1.1716202129136584,0,0.0012715474070276425,0,1,23.43240425827317,3,3A,,2024-04-14 15:13:42,3.8103700799190146e-06,7.62074015983803e-05,0.002074688796680498,0.0,True,True,incremental,False,False,1,1,deferred,,5.447391304347826,1250000000.0,0.004212716819816015,0.00405315686748557
58,5321de0eeb2b7180cacea678148ccbfa,insert,2837174787,0,530097,0.007924947391308673,0,1,0,3,6A,7A,2024-04-14 15:13:42,0.0,0.0,0.002074688796680498,0.32,False,False,normal,True,False,0,0,deferred,5321de0eeb2b7180cacea678148ccbfa,5.447391304347826,17179869184.0,0.16956271495601669,0.16956271495601669
59,8cfeac644fd2970f38eff6b7643eaaa2,insert,6544400477,0,285942,0.00752530578171721,0,1,0,3,9A,7A,2024-04-14 15:13:42,0.0,0.0,0.0,0.2,False,False,normal,True,False,0,0,deferred,8cfeac644fd2970f38eff6b7643eaaa2,5.447391304347826,17179869184.0,0.3849422943529859,0.3849422943529859
60,f2006d85725128a43244dba74c191422,insert,7413347286,0,224440,0.010134433167987322,0,1,0,3,9A,7A,2024-04-14 15:13:42,0.0,0.0,0.0,0.18,False,False,normal,True,False,0,0,deferred,f2006d85725128a43244dba74c191422,5.447391304347826,17179869184.0,0.436773437768671,0.436773437768671
61,4df8ed4611bc480d69c34e546c933db4,insert,6998397779,0,551326,0.008880551615875767,0,2,0,3,"1A,6A",5A,2024-04-14 15:13:42,0.0,0.0,0.002074688796680498,0.36,False,False,normal,True,False,0,0,deferred,4df8ed4611bc480d69c34e546c933db4,5.447391304347826,17179869184.0,0.4122737928623941,0.4122737928623941
62,1f521cc192ea22e38d0170c837dc7b3e,insert,2402570174,0,209251,0.0034249815523094665,0,1,0,3,4A,5A,2024-04-14 15:13:42,0.0,0.0,0.0,0.13,False,False,normal,True,False,0,0,deferred,1f521cc192ea22e38d0170c837dc7b3e,5.447391304347826,17179869184.0,0.14174006159641092,0.14174006159641092
63,01a66b9e116575d77df82de7ab4fb676,select,2827131192,951,0,0.004173572414024922,0,2,28530,4,"0A,8A",,2024-04-14 15:14:19,3.363833990764444e-07,1.0091501972293332e-05,0.0,0.02,False,False,normal,False,False,0,1,immediate,01a66b9e116575d77df82de7ab4fb676,5.447391304347826,17179869184.0,0.1680405928149352,0.16789962779321843
64,21a02c48250d27c0ef9c85b49bbf19f1,select,500489068,625,0,0.0014816477415040261,0,1,12515,4,9A,,2024-04-14 15:14:49,1.2503173180321435e-06,2.500634636064287e-05,0.002074688796680498,0.0,True,True,normal,False,False,1,1,immediate,21a02c48250d27c0ef9c85b49bbf19f1,5.447391304347826,17179869184.0,0.03352706311535674,0.033198243355889924
65,3c8d6986a54871b0ebfaf7d70c792b00,select,9067896979,3432101,0,0.01007893106905082,0,1,68642022,4,9A,,2024-04-14 15:15:03,0.0003784892068464816,0.007569784136929632,0.0031120331950207467,0.11,True,True,normal,False,False,1,1,immediate,3c8d6986a54871b0ebfaf7d70c792b00,5.447391304347826,17179869184.0,0.5932196127847954,0.5942275274632736
66,bf236aa1956f480f3c35d92324a3cf90,select,12663917370,279482,0,0.01506732616958417,0,1,5589651,4,9A,,2024-04-14 15:15:27,2.2069205416331285e-05,0.00044138410832662573,0.001037344398340249,0.09,True,True,normal,False,False,1,1,immediate,bf236aa1956f480f3c35d92324a3cf90,5.447391304347826,17179869184.0,0.7516269556783798,0.7522871098154844
67,d32086ccacb3567c07c16ea13920d05b,select,399822021,7862,0,0.006363676066040369,0,1,157240,4,0A,,2024-04-14 15:15:35,1.966374933610773e-05,0.00039327498672215455,0.001037344398340249,0.01,True,True,normal,False,False,1,1,immediate,d32086ccacb3567c07c16ea13920d05b,5.447391304347826,17179869184.0,0.02902721180358642,0.028649532106254465
68,d106eddc4c9e3fb6f7ac254fde55df99,select,1526856486,299009,0,0.008169908248385559,0,1,5980180,4,0A,,2024-04-14 15:15:58,0.00019583307451726017,0.003916661490345203,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,d106eddc4c9e3fb6f7ac254fde55df99,5.447391304347826,17179869184.0,0.1018797120503239,0.10131801731678566
69,62569b87613e95ce376c5e804879fbd8,select,17492254977,221584,0,0.0178216113956997,0,1,4431696,4,9A,,2024-04-14 15:16:10,1.2667595061998116e-05,0.00025335190123996235,0.0,0.12,False,False,normal,False,False,0,1,immediate,62569b87613e95ce376c5e804879fbd8,5.447391304347826,17179869184.0,1.028387596957321,1.0283685126996387
70,7a122b32fea1d40d709aeae7f7d3fb7d,select,306821406,5387,0,0.003084045412974075,0,1,107750,4,2A,,2024-04-14 15:16:13,1.7559219242045206e-05,0.0003511843848409041,0.0,0.01,False,False,normal,False,False,0,1,immediate,7a122b32fea1d40d709aeae7f7d3fb7d,5.447391304347826,17179869184.0,0.02128266054689057,0.020576377476794312
71,b724bbdcb3aa2429a8eceb7e50a2236d,select,1832460534,7506,0,0.0024628600046475322,0,1,150120,4,4A,,2024-04-14 15:16:19,4.096131873364537e-06,8.192263746729074e-05,0.002074688796680498,0.01,True,True,normal,False,False,1,1,immediate,b724bbdcb3aa2429a8eceb7e50a2236d,5.447391304347826,17179869184.0,0.11128095251975911,0.11086238218694792
72,3682422039967706d55b3d3be1437e22,select,4351894743,716,0,0.015795970006689433,0,2,21484,4,"6A,3A",,2024-04-14 15:16:32,1.645655627434499e-07,4.936966882303497e-06,0.0,0.05,False,False,normal,False,False,0,1,immediate,3682422039967706d55b3d3be1437e22,5.447391304347826,17179869184.0,0.26226932459971725,0.26237476739927396
73,82cffd4146af5fc273c26cd555dddc62,select,2364922998,6718,0,0.009707446341969529,0,1,134360,4,8A,,2024-04-14 15:16:49,2.8406844559765238e-06,5.681368911953048e-05,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,82cffd4146af5fc273c26cd555dddc62,5.447391304347826,17179869184.0,0.14477469830458123,0.14588472104817213
74,7625b8fa4d2655f24836b885b2a13920,select,542105328,5072,0,0.003944146802294562,0,2,152182,4,"6A,9A",,2024-04-14 15:16:55,9.357524500965962e-06,0.0002807257350289788,0.0031120331950207467,0.01,True,True,normal,False,False,1,1,immediate,7625b8fa4d2655f24836b885b2a13920,5.447391304347826,17179869184.0,0.03579702965840538,0.03595913623804324
75,82a1e208b12b0ed0e5bd248892ffa119,select,3804913704,3112,0,0.010196859870718819,0,1,62256,4,3A,,2024-04-14 15:17:41,8.181145099805492e-07,1.6362290199610985e-05,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,82a1e208b12b0ed0e5bd248892ffa119,5.447391304347826,17179869184.0,0.22986379668535267,0.23022848462550888
76,1ab1a5886996556d5489cec8ca89ce50,select,5393821176,1069,0,0.006437162215039687,0,1,21382,4,9A,,2024-04-14 15:19:28,1.9821237237983067e-07,3.9642474475966135e-06,0.002074688796680498,0.04,True,True,normal,False,False,1,1,immediate,1ab1a5886996556d5489cec8ca89ce50,5.447391304347826,17179869184.0,0.3203119921573248,0.32008574758229846
77,a206fb7ce59d4c77eff1862e2eddf2d7,select,1582770084,43500,0,0.006921125030783227,0,1,870000,4,1A,,2024-04-14 15:23:46,2.748346107860856e-05,0.0005496692215721712,0.001037344398340249,0.02,True,True,normal,False,False,1,1,immediate,a206fb7ce59d4c77eff1862e2eddf2d7,5.447391304347826,17179869184.0,0.10005016084552815,0.0990315427505386
