,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,network_speed,total_runtime,runtime
0,63b19168043d79d20218005a3338cf37,select,1479752962,69287,0,0.011253743497622721,0,1,1385740,1,6A,,2024-04-14 12:42:57,4.6823356181259666e-05,0.0009364671236251933,0.001037344398340249,0.03,True,True,normal,False,False,1,1,immediate,63b19168043d79d20218005a3338cf37,17179869184.0,0.09685839562803486,0.09521120114535397
1,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538,0,0.009730786268060239,0,2,76140,1,"1A,0A",,2024-04-14 12:44:25,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,normal,False,False,0,1,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32458765757837393,0.3246661228486047
2,943192c106b81d175d8a9480280b717d,select,10780371948,2635,0,0.016156768601880367,0,1,52700,1,0A,,2024-04-14 12:44:41,2.444257037428891e-07,4.888514074857782e-06,0.001037344398340249,0.08,True,True,normal,False,False,1,1,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6378271491754115,0.6377322757416115
3,6f45052814dd4fd00798d27103a46156,select,1208773679,88095,0,0.008322238434354035,0,1,1761900,1,4A,,2024-04-14 12:47:08,7.287964780378048e-05,0.0014575929560756095,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,6f45052814dd4fd00798d27103a46156,17179869184.0,0.078837875994751,0.07916253798774947
4,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950,0,0.006549999315489203,0,1,2079000,1,6A,,2024-04-14 13:02:21,0.00011037850295417152,0.0022075700590834307,0.0031120331950207467,0.02,True,True,normal,False,False,1,1,immediate,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.06217866450196685,0.06382908802535339
5,786123a40229d18deef29222cc49a1c9,select,10235443288,2979,0,0.01720347102517239,0,1,59580,1,8A,,2024-04-14 13:03:06,2.910474823784691e-07,5.820949647569382e-06,0.001037344398340249,0.08,True,True,normal,False,False,1,1,immediate,786123a40229d18deef29222cc49a1c9,17179869184.0,0.6079406785325568,0.6075446815069722
6,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572,0,0.010625995408751612,0,1,191440,1,1A,,2024-04-14 13:09:16,6.1228789862964625e-06,0.00012245757972592923,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,7c7483072ac8260be91fe3eebda0e4ab,17179869184.0,0.09915165117374582,0.09926214267899076
7,3599077bb1b6c644e2c9c48848ad6273,select,2747986115,130203,0,0.0037093471472155626,0,1,2604060,2,1A,,2024-04-14 13:14:26,4.7381243773133115e-05,0.0009476248754626622,0.0031120331950207467,0.02,True,True,normal,False,False,1,1,immediate,3599077bb1b6c644e2c9c48848ad6273,17179869184.0,0.16705299765704967,0.16784460607460128
8,bbb43ff277401dfeb52b9f72eb6800d4,select,2055463569,4823,0,0.005044900353579094,0,1,96460,2,6A,,2024-04-14 13:27:33,2.346429327544068e-06,4.692858655088136e-05,0.001037344398340249,0.02,True,True,normal,False,False,1,1,immediate,bbb43ff277401dfeb52b9f72eb6800d4,17179869184.0,0.12553941121934423,0.12616132906402255
9,334283e482c6c7d18cf9e3af19bc3319,insert,147008767,0,289068,0.0018631101004324341,0,2,0,2,"4A,3A",3A,2024-04-14 13:29:36,0.0,0.0,0.0031120331950207467,0.17,False,False,normal,True,False,0,0,triggered_by_read,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.009736671883184089,0.009736671883184089
10,a1198d957df20e2fc422b91ade00bd92,insert,8906727275,0,448671,0.018079790984822614,0,1,0,2,2A,3A,2024-04-14 13:29:36,0.0,0.0,0.001037344398340249,0.32,False,False,normal,True,False,0,0,triggered_by_read,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.5278647094537726,0.5278647094537726
11,6f548a390e487af7720fee4d4b771d7d,select,0,104030,0,0,0,1,2080628,2,3A,,2024-04-14 13:29:36,0.00011037850295417152,0.0022075700590834307,0.0031120331950207467,0.0,False,False,incremental,False,True,1,1,immediate,6f548a390e487af7720fee4d4b771d7d,1250000000.0,0.003693002791151344,0.002123611117731682
12,dd574a5a4590a485d36a2bf2cacd63ef,select,803740547,152,0,0.008213281540373618,0,2,4560,2,"4A,1A",,2024-04-14 13:46:31,1.8911575453963007e-07,5.673472636188902e-06,0.002074688796680498,0.02,True,True,normal,False,False,1,1,immediate,dd574a5a4590a485d36a2bf2cacd63ef,17179869184.0,0.054675792893986136,0.05338050545184183
