,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime
944,b0aa5272b81fedcfcf65719ca900eeda,insert,34534900199,0,326765,0.03849134321021526,0,1,0,1,2A,5A,2024-04-14 12:21:59,0.0,0.0,0.0,0.41,False,False,False,False,0,0,normal,immediate,b0aa5272b81fedcfcf65719ca900eeda,17179869184.0,2.029460452295256,2.029460452295256
873,e6f1ddfeda05164f838cf85006193095,insert,345149745,0,628422,0.0020636660781711753,0,1,0,1,4A,7A,2024-04-14 12:25:55,0.0,0.0,0.002074688796680498,0.36,False,False,False,False,0,0,normal,immediate,e6f1ddfeda05164f838cf85006193095,17179869184.0,0.021158771335101894,0.021158771335101894
74,334283e482c6c7d18cf9e3af19bc3319,insert,147008767,0,289068,0.0018631101004324341,0,2,0,1,"4A,3A",3A,2024-04-14 12:33:12,0.0,0.0,0.0031120331950207467,0.17,False,False,False,False,0,0,normal,immediate,334283e482c6c7d18cf9e3af19bc3319,17179869184.0,0.009505417483184089,0.009505417483184089
518,00f95fa9563ad2d9d0ee11ae2c2023e9,insert,2834150613,0,260824,0.012065374359824108,0,1,0,1,2A,7A,2024-04-14 12:34:40,0.0,0.0,0.002074688796680498,0.18,False,False,False,False,0,0,normal,immediate,00f95fa9563ad2d9d0ee11ae2c2023e9,17179869184.0,0.17101714699406195,0.17101714699406195
176,d506687960e7c8e9a2e87837e95b4fab,insert,845016923,0,242608,0.004671342304417094,0,1,0,1,8A,5A,2024-04-14 12:40:47,0.0,0.0,0.0031120331950207467,0.15,False,False,False,False,0,0,normal,immediate,d506687960e7c8e9a2e87837e95b4fab,17179869184.0,0.05153625131653304,0.05153625131653304
529,63b19168043d79d20218005a3338cf37,select,1479752962,69287,0,0.011253743497622721,0,1,1385740,1,6A,,2024-04-14 12:42:57,4.6823356181259666e-05,0.0009364671236251933,0.001037344398340249,0.03,False,False,False,False,0,0,normal,immediate,63b19168043d79d20218005a3338cf37,17179869184.0,0.09175983039660639,0.09175983039660639
581,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538,0,0.009730786268060239,0,2,76140,1,"1A,0A",,2024-04-14 12:44:25,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,False,False,0,0,normal,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32347759997771175,0.32347759997771175
771,943192c106b81d175d8a9480280b717d,select,10780371948,2635,0,0.016156768601880367,0,1,52700,1,0A,,2024-04-14 12:44:41,2.444257037428891e-07,4.888514074857782e-06,0.001037344398340249,0.08,False,False,False,False,0,0,normal,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6355786191711803,0.6355786191711803
493,2b576d437ec2671d1cc288138a31b803,insert,1424367979,0,138141,0.0055016972024324855,0,1,0,1,1A,7A,2024-04-14 12:45:17,0.0,0.0,0.002074688796680498,0.09,False,False,False,False,0,0,normal,immediate,2b576d437ec2671d1cc288138a31b803,17179869184.0,0.08566801780333536,0.08566801780333536
700,6f45052814dd4fd00798d27103a46156,select,1208773679,88095,0,0.008322238434354035,0,1,1761900,1,4A,,2024-04-14 12:47:08,7.287964780378048e-05,0.0014575929560756095,0.002074688796680498,0.02,False,False,False,False,0,0,normal,immediate,6f45052814dd4fd00798d27103a46156,17179869184.0,0.07452100764553352,0.07452100764553352
634,d3c8ebdf7726a9c36689efbaedfcbe5f,insert,2870641374,0,118753,0.004246630961940328,0,1,0,1,2A,7A,2024-04-14 12:48:21,0.0,0.0,0.001037344398340249,0.09,False,False,False,False,0,0,normal,immediate,d3c8ebdf7726a9c36689efbaedfcbe5f,17179869184.0,0.1692235475172888,0.1692235475172888
383,a1198d957df20e2fc422b91ade00bd92,insert,8906727275,0,448671,0.018079790984822614,0,1,0,1,2A,3A,2024-04-14 12:49:30,0.0,0.0,0.001037344398340249,0.32,False,False,False,False,0,0,normal,immediate,a1198d957df20e2fc422b91ade00bd92,17179869184.0,0.5275057726537726,0.5275057726537726
250,9d47cf199c599870f935bae5e69c2332,insert,330642101,0,347248,0.005595994842315706,0,2,0,1,"9A,6A",7A,2024-04-14 12:54:45,0.0,0.0,0.002074688796680498,0.2,False,False,False,False,0,0,normal,immediate,9d47cf199c599870f935bae5e69c2332,17179869184.0,0.022064113213719174,0.022064113213719174
785,c83afa8e7e10b7a495f4326a61c852bb,insert,842131058,0,179350,0.0018476699854853035,0,2,0,1,"2A,9A",7A,2024-04-14 12:58:43,0.0,0.0,0.0,0.11,False,False,False,False,0,0,normal,immediate,c83afa8e7e10b7a495f4326a61c852bb,17179869184.0,0.049952753605491035,0.049952753605491035
632,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950,0,0.006549999315489203,0,1,2079000,1,6A,,2024-04-14 13:02:21,0.00011037850295417152,0.0022075700590834307,0.0031120331950207467,0.02,False,False,False,False,0,0,normal,immediate,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.05809261531672074,0.05809261531672074
12,786123a40229d18deef29222cc49a1c9,select,10235443288,2979,0,0.01720347102517239,0,1,59580,1,8A,,2024-04-14 13:03:06,2.910474823784691e-07,5.820949647569382e-06,0.001037344398340249,0.08,False,False,False,False,0,0,normal,immediate,786123a40229d18deef29222cc49a1c9,17179869184.0,0.6043829477195162,0.6043829477195162
259,1f38b4d192e3dc95167f32ba530f9870,insert,2609053706,0,615963,0.009782342450444308,0,1,0,1,4A,9A,2024-04-14 13:08:34,0.0,0.0,0.001037344398340249,0.37,False,False,False,False,0,0,normal,immediate,1f38b4d192e3dc95167f32ba530f9870,17179869184.0,0.15679393841453487,0.15679393841453487
926,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572,0,0.010625995408751612,0,1,191440,1,1A,,2024-04-14 13:09:16,6.1228789862964625e-06,0.00012245757972592923,0.002074688796680498,0.02,False,False,False,False,0,0,normal,immediate,7c7483072ac8260be91fe3eebda0e4ab,17179869184.0,0.0963100158572237,0.0963100158572237
407,089a30492cf8f1d48524a2250ccd6d75,insert,356058251,0,535436,0.006545086165404135,0,1,0,1,4A,5A,2024-04-14 13:11:29,0.0,0.0,0.001037344398340249,0.31,False,False,False,False,0,0,normal,immediate,089a30492cf8f1d48524a2250ccd6d75,17179869184.0,0.024029027499481197,0.024029027499481197
372,777ca002621052e5e3642fe691ddb09d,insert,12009201841,0,331916,0.016973070868864723,0,1,0,1,1A,7A,2024-04-14 13:11:41,0.0,0.0,0.001037344398340249,0.27,False,False,False,False,0,0,normal,immediate,777ca002621052e5e3642fe691ddb09d,17179869184.0,0.7075334040907286,0.7075334040907286
540,3599077bb1b6c644e2c9c48848ad6273,select,2747986115,130203,0,0.0037093471472155626,0,1,2604060,2,1A,,2024-04-14 13:14:26,4.7381243773133115e-05,0.0009476248754626622,0.0031120331950207467,0.02,False,False,False,False,0,0,normal,immediate,3599077bb1b6c644e2c9c48848ad6273,17179869184.0,0.16180851755044443,0.16180851755044443
759,436a6f818d593eecd8bb3aa6a9bfac26,insert,9404627494,0,372214,0.013233420211938986,0,2,0,2,"1A,9A",5A,2024-04-14 13:14:45,0.0,0.0,0.0031120331950207467,0.27,False,False,False,False,0,0,normal,immediate,436a6f818d593eecd8bb3aa6a9bfac26,17179869184.0,0.5540597440004935,0.5540597440004935
293,c8619c94ddafc767a3e4a486190c6eaa,insert,770959642,0,839783,0.005454401353356526,0,1,0,2,6A,5A,2024-04-14 13:20:44,0.0,0.0,0.0,0.48,False,False,False,False,0,0,normal,immediate,c8619c94ddafc767a3e4a486190c6eaa,17179869184.0,0.04765183990028738,0.04765183990028738
108,4a965ae4c2711bb3bf0a96f44b5e3996,insert,8114087131,0,311060,0.012723392154643314,0,1,0,2,4A,7A,2024-04-14 13:24:24,0.0,0.0,0.001037344398340249,0.23,False,False,False,False,0,0,normal,immediate,4a965ae4c2711bb3bf0a96f44b5e3996,17179869184.0,0.478681834495903,0.478681834495903
296,256836859579356e5d340cd180b8d663,insert,2488396465,0,435606,0.004501432254442387,0,2,0,2,"3A,9A",5A,2024-04-14 13:26:22,0.0,0.0,0.0,0.26,False,False,False,False,0,0,normal,immediate,256836859579356e5d340cd180b8d663,17179869184.0,0.14711980938655203,0.14711980938655203
123,bbb43ff277401dfeb52b9f72eb6800d4,select,2055463569,4823,0,0.005044900353579094,0,1,96460,2,6A,,2024-04-14 13:27:33,2.346429327544068e-06,4.692858655088136e-05,0.001037344398340249,0.02,False,False,False,False,0,0,normal,immediate,bbb43ff277401dfeb52b9f72eb6800d4,17179869184.0,0.12216617662112707,0.12216617662112707
