,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime,size
846,6163adee828760dfc69391db7249b39d,select,1173870261,10181.0,0,0.00405816867627785,0,1,203620.0,1.0,8A,,2024-04-14 12:14:54,8.673019786127795e-06,0.00017346039572255592,0.0010460251046025104,0.01,True,True,False,False,1,0,normal,immediate,6163adee828760dfc69391db7249b39d,17179869184.0,0.0720211427390771,0.07246913030037759,213801.0
807,2c800f141d10828469c2dadd59def9c8,select,3561267634,221.0,0,0.008397116297353818,0,2,6630.0,1.0,"0A,3A",,2024-04-14 12:18:34,6.205655477563021e-08,1.8616966432689064e-06,0.0031380753138075313,0.03,True,True,False,False,1,0,normal,immediate,2c800f141d10828469c2dadd59def9c8,17179869184.0,0.21342393783134955,0.2134222291491798,6851.0
467,0d6243613647e1101a8d226743a74c4c,select,3361415229,262078.0,0,0.006304268845433431,0,1,5241560.0,1.0,8A,,2024-04-14 12:20:04,7.796656531420742e-05,0.0015593313062841484,0.0010460251046025104,0.03,True,True,False,False,1,0,normal,immediate,0d6243613647e1101a8d226743a74c4c,17179869184.0,0.20466054639099784,0.20445515466042957,5503638.0
926,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572.0,0,0.010625995408751612,0,1,191440.0,1.0,0A,,2024-04-14 12:21:59,6.1228789862964625e-06,0.00012245757972592923,0.0020920502092050207,0.02,True,True,False,False,1,0,normal,immediate,7c7483072ac8260be91fe3eebda0e4ab,17179869184.0,0.09812586400768306,0.09785476730355401,201012.0
12,786123a40229d18deef29222cc49a1c9,select,10235443288,2979.0,0,0.01720347102517239,0,1,59580.0,1.0,3A,,2024-04-14 12:22:03,2.910474823784691e-07,5.820949647569382e-06,0.0010460251046025104,0.08,True,True,False,False,1,0,normal,immediate,786123a40229d18deef29222cc49a1c9,17179869184.0,0.6056205718118755,0.606271845573641,62559.0
792,3c8d6986a54871b0ebfaf7d70c792b00,select,9067281016,3431868.0,0,0.01007893106905082,0,1,68637360.0,1.0,3A,,2024-04-14 12:26:00,0.0003784892068464816,0.007569784136929632,0.0031380753138075313,0.11,True,True,False,False,1,0,normal,immediate,3c8d6986a54871b0ebfaf7d70c792b00,17179869184.0,0.5917407481317473,0.5921837028311638,72069228.0
253,9edd4b03e93249fab2ba864eee07b877,select,27547407332,9550.0,0,0.03346337050046944,0,1,191000.0,1.0,8A,,2024-04-14 12:27:42,3.46675093046103e-07,6.93350186092206e-06,0.0010460251046025104,0.19,True,True,False,False,1,0,normal,immediate,9edd4b03e93249fab2ba864eee07b877,17179869184.0,1.621999076924976,1.621370389329435,200550.0
187,3599077bb1b6c644e2c9c48848ad6273,select,2747986115,130203.0,0,0.0037093471472155626,0,1,2604060.0,1.0,0A,,2024-04-14 12:28:25,4.7381243773133115e-05,0.0009476248754626622,0.0031380753138075313,0.02,True,True,False,False,1,0,normal,immediate,3599077bb1b6c644e2c9c48848ad6273,17179869184.0,0.1654874454451761,0.1656004041373094,2734263.0
632,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950.0,0,0.006549999315489203,0,1,2079000.0,1.0,0A,,2024-04-14 12:29:08,0.00011037850295417152,0.0022075700590834307,0.0031380753138075313,0.02,True,True,False,False,1,0,normal,immediate,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.06149145806955036,0.061472091757920594,2182950.0
314,210106903c7675f75ac1aa3ec4dbcccb,select,3062873907,264.0,0,0.006010814511076841,0,2,7920.0,1.0,"8A,0A",,2024-04-14 12:32:32,8.619355808172353e-08,2.585806742451706e-06,0.0020920502092050207,0.02,True,True,False,False,1,0,normal,immediate,210106903c7675f75ac1aa3ec4dbcccb,17179869184.0,0.1831144330167809,0.18326583453827947,8184.0
581,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538.0,0,0.009730786268060239,0,2,76140.0,1.0,"0A,8A",,2024-04-14 12:33:12,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,False,False,0,0,normal,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32347759997771175,0.32347759997771175,78678.0
750,44484f4f8d3a5ddd885b750379a3c341,select,11001800693,2960.0,0,0.018619792737408946,0,1,59200.0,1.0,3A,,2024-04-14 12:38:07,2.6904686629010905e-07,5.380937325802181e-06,0.0020920502092050207,0.08,True,True,False,False,1,0,normal,immediate,44484f4f8d3a5ddd885b750379a3c341,17179869184.0,0.6512790172068745,0.6512359445805622,62160.0
905,67d2b9fe020c800f2ee6c2ab6e6af2fc,select,2022963204,1269.0,0,0.004569099016946159,0,1,25380.0,1.0,0A,,2024-04-14 12:43:52,6.2729761840987e-07,1.25459523681974e-05,0.0010460251046025104,0.02,True,True,False,False,1,0,normal,immediate,67d2b9fe020c800f2ee6c2ab6e6af2fc,17179869184.0,0.12120603621377159,0.12124230972767541,26649.0
773,7a122b32fea1d40d709aeae7f7d3fb7d,select,306391755,5380.0,0,0.003084045412974075,0,1,107600.0,1.0,0A,,2024-04-14 12:47:01,1.7559219242045206e-05,0.0003511843848409041,0.0,0.01,False,False,False,False,0,0,normal,immediate,7a122b32fea1d40d709aeae7f7d3fb7d,17179869184.0,0.019376370088209218,0.019376370088209218,112980.0
626,ec03a575bc1856b2487941f530574be5,select,2554493399,107269.0,0,0.00781219322087749,0,1,2145380.0,1.0,8A,,2024-04-14 12:50:58,4.1992279190070436e-05,0.0008398455838014088,0.0020920502092050207,0.03,True,True,False,False,1,0,normal,immediate,ec03a575bc1856b2487941f530574be5,17179869184.0,0.15584548139525922,0.15580813112333078,2252649.0
604,d58c3e9bb210817fad1d3a8818934046,select,1695256749,35395.0,0,0.003988208248352592,0,1,707900.0,1.0,8A,,2024-04-14 12:52:10,2.0878843290775184e-05,0.00041757686581550367,0.0031380753138075313,0.01,True,True,False,False,1,0,normal,immediate,d58c3e9bb210817fad1d3a8818934046,17179869184.0,0.1027667680745484,0.1027945612570348,743295.0
693,211ddd47f69a4d0a9c127eac7f23d9ec,select,6554149930,21729.0,0,0.011586728745372166,0,1,434580.0,1.0,3A,,2024-04-14 12:53:45,3.315304079410951e-06,6.630608158821902e-05,0.0020920502092050207,0.05,True,True,False,False,1,0,normal,immediate,211ddd47f69a4d0a9c127eac7f23d9ec,17179869184.0,0.38948687574078883,0.3894836578002865,456309.0
561,600bd4da4746ee68c66a472dcf71536a,select,21103456466,25313.0,0,0.02424583312072184,0,1,506260.0,1.0,0A,,2024-04-14 12:53:53,1.1994717567135051e-06,2.3989435134270104e-05,0.0,0.14,False,False,False,False,0,0,normal,immediate,600bd4da4746ee68c66a472dcf71536a,17179869184.0,1.2405057546354101,1.2405057546354101,531573.0
548,6e93f3e1b39b855023a58189dc3b750f,select,2296222219,27188.0,0,0.0033767819064871823,0,1,543760.0,1.0,0A,,2024-04-14 12:54:19,1.1840317446209678e-05,0.00023680634892419357,0.0020920502092050207,0.02,True,True,False,False,1,0,normal,immediate,6e93f3e1b39b855023a58189dc3b750f,17179869184.0,0.13726390358640064,0.13765694208862064,570948.0
143,e0400178f04e05515fd679063f566fb7,select,11556694876,4504.0,0,0.015166521719417143,0,1,90080.0,1.0,8A,,2024-04-14 13:01:24,3.8973080524549793e-07,7.794616104909959e-06,0.0010460251046025104,0.08,True,True,False,False,1,0,normal,immediate,e0400178f04e05515fd679063f566fb7,17179869184.0,0.6819368060162718,0.6817058079041964,94584.0
828,6163adee828760dfc69391db7249b39d,select,0,10181.0,0,0.0,0,1,203620.0,1.0,8A,,2024-04-14 13:03:54,8.673019786127795e-06,0.00017346039572255592,0.0010460251046025104,0.0,False,False,False,True,0,1,incremental,immediate,6163adee828760dfc69391db7249b39d,1250000000.0,0.0014526446663716804,0.0010201009516057854,
480,6759969c00ce0553ccb740f8f7497cd0,select,970162417,307.0,0,0.005623266686943119,0,1,6140.0,1.0,8A,,2024-04-14 13:04:06,3.1644186027049533e-07,6.328837205409906e-06,0.0010460251046025104,0.01,True,True,False,False,1,0,normal,immediate,6759969c00ce0553ccb740f8f7497cd0,17179869184.0,0.06127991982864791,0.06100999873899192,6447.0
771,943192c106b81d175d8a9480280b717d,select,10780371948,2635.0,0,0.016156768601880367,0,1,52700.0,1.0,8A,,2024-04-14 13:05:14,2.444257037428891e-07,4.888514074857782e-06,0.0010460251046025104,0.08,True,True,False,False,1,0,normal,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6373881643600463,0.6374108918857375,55335.0
127,7a742e7262c23b69721db94ae1803898,select,60315506317,152.0,0,0.06112319086879108,0,1,3040.0,1.0,0A,,2024-04-14 13:07:27,2.520081638727098e-09,5.040163277454196e-08,0.0,0.39,False,False,False,False,0,0,normal,immediate,7a742e7262c23b69721db94ae1803898,17179869184.0,3.541386134958433,3.541386134958433,3192.0
