,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime
846,6163adee828760dfc69391db7249b39d,select,1173870261,10181,0,0.00405816867627785,0,1,203620,1.0,8A,,2024-04-14 12:14:54,8.673019786127795e-06,0.00017346039572255592,0.0010460251046025104,0.01,False,False,False,False,0,0,normal,immediate,6163adee828760dfc69391db7249b39d,17179869184.0,0.0703573264468304,0.0703573264468304
807,2c800f141d10828469c2dadd59def9c8,select,3561267634,221,0,0.008397116297353818,0,2,6630,1.0,"0A,3A",,2024-04-14 12:18:34,6.205655477563021e-08,1.8616966432689064e-06,0.0031380753138075313,0.03,False,False,False,False,0,0,normal,immediate,2c800f141d10828469c2dadd59def9c8,17179869184.0,0.21149161701065528,0.21149161701065528
467,0d6243613647e1101a8d226743a74c4c,select,3361415229,262078,0,0.006304268845433431,0,1,5241560,1.0,8A,,2024-04-14 12:20:04,7.796656531420742e-05,0.0015593313062841484,0.0010460251046025104,0.03,False,False,False,False,0,0,normal,immediate,0d6243613647e1101a8d226743a74c4c,17179869184.0,0.19881225226171412,0.19881225226171412
926,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572,0,0.010625995408751612,0,1,191440,1.0,0A,,2024-04-14 12:21:59,6.1228789862964625e-06,0.00012245757972592923,0.0020920502092050207,0.02,False,False,False,False,0,0,normal,immediate,7c7483072ac8260be91fe3eebda0e4ab,17179869184.0,0.0963100158572237,0.0963100158572237
12,786123a40229d18deef29222cc49a1c9,select,10235443288,2979,0,0.01720347102517239,0,1,59580,1.0,3A,,2024-04-14 12:22:03,2.910474823784691e-07,5.820949647569382e-06,0.0010460251046025104,0.08,False,False,False,False,0,0,normal,immediate,786123a40229d18deef29222cc49a1c9,17179869184.0,0.6043829477195162,0.6043829477195162
792,3c8d6986a54871b0ebfaf7d70c792b00,select,9067281016,3431868,0,0.01007893106905082,0,1,68637360,1.0,3A,,2024-04-14 12:26:00,0.0003784892068464816,0.007569784136929632,0.0031380753138075313,0.11,False,False,False,False,0,0,normal,immediate,3c8d6986a54871b0ebfaf7d70c792b00,17179869184.0,0.5328246843209736,0.5328246843209736
253,9edd4b03e93249fab2ba864eee07b877,select,27547407332,9550,0,0.03346337050046944,0,1,191000,1.0,8A,,2024-04-14 12:27:42,3.46675093046103e-07,6.93350186092206e-06,0.0010460251046025104,0.19,False,False,False,False,0,0,normal,immediate,9edd4b03e93249fab2ba864eee07b877,17179869184.0,1.6202018302764567,1.6202018302764567
187,3599077bb1b6c644e2c9c48848ad6273,select,2747986115,130203,0,0.0037093471472155626,0,1,2604060,1.0,0A,,2024-04-14 12:28:25,4.7381243773133115e-05,0.0009476248754626622,0.0031380753138075313,0.02,False,False,False,False,0,0,normal,immediate,3599077bb1b6c644e2c9c48848ad6273,17179869184.0,0.16180851755044443,0.16180851755044443
632,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950,0,0.006549999315489203,0,1,2079000,1.0,0A,,2024-04-14 12:29:08,0.00011037850295417152,0.0022075700590834307,0.0031380753138075313,0.02,False,False,False,False,0,0,normal,immediate,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.05809261531672074,0.05809261531672074
314,210106903c7675f75ac1aa3ec4dbcccb,select,3062873907,264,0,0.006010814511076841,0,2,7920,1.0,"8A,0A",,2024-04-14 12:32:32,8.619355808172353e-08,2.585806742451706e-06,0.0020920502092050207,0.02,False,False,False,False,0,0,normal,immediate,210106903c7675f75ac1aa3ec4dbcccb,17179869184.0,0.18128813305490152,0.18128813305490152
581,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538,0,0.009730786268060239,0,2,76140,1.0,"0A,8A",,2024-04-14 12:33:12,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,False,False,0,0,normal,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32347759997771175,0.32347759997771175
750,44484f4f8d3a5ddd885b750379a3c341,select,11001800693,2960,0,0.018619792737408946,0,1,59200,1.0,3A,,2024-04-14 12:38:07,2.6904686629010905e-07,5.380937325802181e-06,0.0020920502092050207,0.08,False,False,False,False,0,0,normal,immediate,44484f4f8d3a5ddd885b750379a3c341,17179869184.0,0.6496989805443992,0.6496989805443992
905,67d2b9fe020c800f2ee6c2ab6e6af2fc,select,2022963204,1269,0,0.004569099016946159,0,1,25380,1.0,0A,,2024-04-14 12:43:52,6.2729761840987e-07,1.25459523681974e-05,0.0010460251046025104,0.02,False,False,False,False,0,0,normal,immediate,67d2b9fe020c800f2ee6c2ab6e6af2fc,17179869184.0,0.12003650572732667,0.12003650572732667
773,7a122b32fea1d40d709aeae7f7d3fb7d,select,306391755,5380,0,0.003084045412974075,0,1,107600,1.0,0A,,2024-04-14 12:47:01,1.7559219242045206e-05,0.0003511843848409041,0.0,0.01,False,False,False,False,0,0,normal,immediate,7a122b32fea1d40d709aeae7f7d3fb7d,17179869184.0,0.019376370088209218,0.019376370088209218
626,ec03a575bc1856b2487941f530574be5,select,2554493399,107269,0,0.00781219322087749,0,1,2145380,1.0,8A,,2024-04-14 12:50:58,4.1992279190070436e-05,0.0008398455838014088,0.0020920502092050207,0.03,False,False,False,False,0,0,normal,immediate,ec03a575bc1856b2487941f530574be5,17179869184.0,0.15259718218512155,0.15259718218512155
604,d58c3e9bb210817fad1d3a8818934046,select,1695256749,35395,0,0.003988208248352592,0,1,707900,1.0,8A,,2024-04-14 12:52:10,2.0878843290775184e-05,0.00041757686581550367,0.0031380753138075313,0.01,False,False,False,False,0,0,normal,immediate,d58c3e9bb210817fad1d3a8818934046,17179869184.0,0.10067103413123542,0.10067103413123542
693,211ddd47f69a4d0a9c127eac7f23d9ec,select,6554149930,21729,0,0.011586728745372166,0,1,434580,1.0,3A,,2024-04-14 12:53:45,3.315304079410951e-06,6.630608158821902e-05,0.0020920502092050207,0.05,False,False,False,False,0,0,normal,immediate,211ddd47f69a4d0a9c127eac7f23d9ec,17179869184.0,0.3872951010741522,0.3872951010741522
561,600bd4da4746ee68c66a472dcf71536a,select,21103456466,25313,0,0.02424583312072184,0,1,506260,1.0,0A,,2024-04-14 12:53:53,1.1994717567135051e-06,2.3989435134270104e-05,0.0,0.14,False,False,False,False,0,0,normal,immediate,600bd4da4746ee68c66a472dcf71536a,17179869184.0,1.2405057546354101,1.2405057546354101
548,6e93f3e1b39b855023a58189dc3b750f,select,2296222219,27188,0,0.0033767819064871823,0,1,543760,1.0,0A,,2024-04-14 12:54:19,1.1840317446209678e-05,0.00023680634892419357,0.0020920502092050207,0.02,False,False,False,False,0,0,normal,immediate,6e93f3e1b39b855023a58189dc3b750f,17179869184.0,0.13534611525876528,0.13534611525876528
143,e0400178f04e05515fd679063f566fb7,select,11556694876,4504,0,0.015166521719417143,0,1,90080,1.0,8A,,2024-04-14 13:01:24,3.8973080524549793e-07,7.794616104909959e-06,0.0010460251046025104,0.08,False,False,False,False,0,0,normal,immediate,e0400178f04e05515fd679063f566fb7,17179869184.0,0.6802714374823229,0.6802714374823229
828,6163adee828760dfc69391db7249b39d,select,1173870261,10181,0,0.00405816867627785,0,1,203620,1.0,8A,,2024-04-14 13:03:54,8.673019786127795e-06,0.00017346039572255592,0.0010460251046025104,0.01,False,False,False,False,0,0,normal,immediate,6163adee828760dfc69391db7249b39d,17179869184.0,0.0703573264468304,0.0703573264468304
480,6759969c00ce0553ccb740f8f7497cd0,select,970162417,307,0,0.005623266686943119,0,1,6140,1.0,8A,,2024-04-14 13:04:06,3.1644186027049533e-07,6.328837205409906e-06,0.0010460251046025104,0.01,False,False,False,False,0,0,normal,immediate,6759969c00ce0553ccb740f8f7497cd0,17179869184.0,0.059282518343197525,0.059282518343197525
771,943192c106b81d175d8a9480280b717d,select,10780371948,2635,0,0.016156768601880367,0,1,52700,1.0,8A,,2024-04-14 13:05:14,2.444257037428891e-07,4.888514074857782e-06,0.0010460251046025104,0.08,False,False,False,False,0,0,normal,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6355786191711803,0.6355786191711803
127,7a742e7262c23b69721db94ae1803898,select,60315506317,152,0,0.06112319086879108,0,1,3040,1.0,0A,,2024-04-14 13:07:27,2.520081638727098e-09,5.040163277454196e-08,0.0,0.39,False,False,False,False,0,0,normal,immediate,7a742e7262c23b69721db94ae1803898,17179869184.0,3.541386134958433,3.541386134958433
92,76c7a8801fe0d8d808f8db9cf7eb4a19,select,9754978589,26086,0,0.011976840568367328,0,2,782580,1.0,"3A,0A",,2024-04-14 13:10:31,2.674121707393119e-06,8.022365122179358e-05,0.0,0.07,False,False,False,False,0,0,normal,immediate,76c7a8801fe0d8d808f8db9cf7eb4a19,17179869184.0,0.5738029062108304,0.5738029062108304
529,63b19168043d79d20218005a3338cf37,select,1479752962,69287,0,0.011253743497622721,0,1,1385740,1.0,8A,,2024-04-14 13:10:55,4.6823356181259666e-05,0.0009364671236251933,0.0010460251046025104,0.03,False,False,False,False,0,0,normal,immediate,63b19168043d79d20218005a3338cf37,17179869184.0,0.09175983039660639,0.09175983039660639
700,6f45052814dd4fd00798d27103a46156,select,1208773679,88095,0,0.008322238434354035,0,1,1761900,1.0,8A,,2024-04-14 13:11:41,7.287964780378048e-05,0.0014575929560756095,0.0020920502092050207,0.02,False,False,False,False,0,0,normal,immediate,6f45052814dd4fd00798d27103a46156,17179869184.0,0.07452100764553352,0.07452100764553352
103,8a2f20e7f227c23f95c4597249ae81d4,select,955787310,1413,0,0.012977209061408222,0,1,28260,1.0,0A,,2024-04-14 13:13:17,1.4783623775042587e-06,2.9567247550085174e-05,0.0010460251046025104,0.02,False,False,False,False,0,0,normal,immediate,8a2f20e7f227c23f95c4597249ae81d4,17179869184.0,0.06212274817657927,0.06212274817657927
496,9b2ae86d710fbda953dd102b1d174e07,select,653225972,24826,0,0.001910163428520909,0,1,496520,2.0,3A,,2024-04-14 13:14:40,3.800522493615731e-05,0.0007601044987231463,0.0,0.01,False,False,False,False,0,0,normal,immediate,9b2ae86d710fbda953dd102b1d174e07,17179869184.0,0.03897783759230661,0.03897783759230661
234,cd48e41daec7f6506239e0bf7e48069e,select,1199834589,39653,0,0.002547468765669022,0,1,793060,2.0,0A,,2024-04-14 13:14:45,3.304872218515447e-05,0.0006609744437030895,0.0020920502092050207,0.01,False,False,False,False,0,0,normal,immediate,cd48e41daec7f6506239e0bf7e48069e,17179869184.0,0.07111329929159604,0.07111329929159604
705,7e010752dbf1d30944316010008eb5f1,select,4018926185,6716,0,0.007601851216432056,0,1,134320,2.0,3A,,2024-04-14 13:20:44,1.671093145494037e-06,3.342186290988074e-05,0.0010460251046025104,0.03,False,False,False,False,0,0,normal,immediate,7e010752dbf1d30944316010008eb5f1,17179869184.0,0.2377332182209512,0.2377332182209512
