,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime,size
12,786123a40229d18deef29222cc49a1c9,select,10235443288,2979.0,0,0.01720347102517239,0,1,59580.0,1,8A,,2024-04-14 12:15:25,2.910474823784691e-07,5.820949647569382e-06,0.001034126163391934,0.08,True,True,False,False,1,0,normal,immediate,786123a40229d18deef29222cc49a1c9,17179869184.0,0.606102941293084,0.6062899303047837,62559.0
581,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538.0,0,0.009730786268060239,0,2,76140.0,1,"1A,0A",,2024-04-14 12:15:42,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,False,False,0,0,normal,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32347759997771175,0.32347759997771175,78678.0
529,63b19168043d79d20218005a3338cf37,select,1479752962,69287.0,0,0.011253743497622721,0,1,1385740.0,1,6A,,2024-04-14 12:17:58,4.6823356181259666e-05,0.0009364671236251933,0.001034126163391934,0.03,True,True,False,False,1,0,normal,immediate,63b19168043d79d20218005a3338cf37,17179869184.0,0.09404323985765635,0.09419623428139974,1455027.0
103,8a2f20e7f227c23f95c4597249ae81d4,select,955787310,1413.0,0,0.012977209061408222,0,1,28260.0,1,0A,,2024-04-14 12:19:08,1.4783623775042587e-06,2.9567247550085174e-05,0.001034126163391934,0.02,True,True,False,False,1,0,normal,immediate,8a2f20e7f227c23f95c4597249ae81d4,17179869184.0,0.0636396115897553,0.06386554719006232,29673.0
250,9d47cf199c599870f935bae5e69c2332,insert,330642101,0.0,347248,0.005595994842315706,0,2,0.0,1,"4A,3A",2A,2024-04-14 12:22:02,0.0,0.0,0.002068252326783868,0.2,False,False,False,False,0,1,normal,immediate,9d47cf199c599870f935bae5e69c2332,17179869184.0,0.023550514531883133,0.02381148935926293,
771,943192c106b81d175d8a9480280b717d,select,10780371948,2635.0,0,0.016156768601880367,0,1,52700.0,1,0A,,2024-04-14 12:22:48,2.444257037428891e-07,4.888514074857782e-06,0.001034126163391934,0.08,True,True,False,False,1,0,normal,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6369991537675196,0.6369557441782948,55335.0
828,6163adee828760dfc69391db7249b39d,select,1173870261,10181.0,0,0.00405816867627785,0,1,203620.0,1,8A,,2024-04-14 12:37:42,8.673019786127795e-06,0.00017346039572255592,0.001034126163391934,0.01,True,True,False,False,1,0,normal,immediate,6163adee828760dfc69391db7249b39d,17179869184.0,0.07247994968366052,0.07192675773586026,213801.0
632,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950.0,0,0.006549999315489203,0,1,2079000.0,1,6A,,2024-04-14 12:38:27,0.00011037850295417152,0.0022075700590834307,0.0031023784901758012,0.02,True,True,False,False,1,0,normal,immediate,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.06122600522740871,0.06120652029964241,2182950.0
626,ec03a575bc1856b2487941f530574be5,select,2554840647,107283.0,0,0.00781219322087749,0,1,2145671.0,1,2A,,2024-04-14 12:44:50,4.1992279190070436e-05,0.0008398455838014088,0.002068252326783868,0.03,True,True,False,False,1,0,normal,immediate,ec03a575bc1856b2487941f530574be5,17179869184.0,0.15607962240539466,0.15603895803113807,2252954.0
926,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572.0,0,0.010625995408751612,0,1,191440.0,1,1A,,2024-04-14 12:45:02,6.1228789862964625e-06,0.00012245757972592923,0.002068252326783868,0.02,True,True,False,False,1,0,normal,immediate,7c7483072ac8260be91fe3eebda0e4ab,17179869184.0,0.09832635075444457,0.09775645804791759,201012.0
314,210106903c7675f75ac1aa3ec4dbcccb,select,3062873907,264.0,0,0.006010814511076841,0,2,7920.0,1,"9A,0A",,2024-04-14 12:49:14,8.619355808172353e-08,2.585806742451706e-06,0.002068252326783868,0.02,True,True,False,False,1,0,normal,immediate,210106903c7675f75ac1aa3ec4dbcccb,17179869184.0,0.18276298518029577,0.1824013972207625,8184.0
807,2c800f141d10828469c2dadd59def9c8,select,3561614882,221.0,0,0.008397116297353818,0,2,6630.0,1,"3A,2A",,2024-04-14 12:51:59,6.205655477563021e-08,1.8616966432689064e-06,0.0031023784901758012,0.03,True,True,False,False,1,0,normal,immediate,2c800f141d10828469c2dadd59def9c8,17179869184.0,0.21303118978499172,0.21267103283291805,6851.0
383,a1198d957df20e2fc422b91ade00bd92,insert,8907074523,0.0,448671,0.018079790984822614,0,1,0.0,1,2A,5A,2024-04-14 12:54:31,0.0,0.0,0.001034126163391934,0.32,False,False,False,False,0,1,normal,immediate,a1198d957df20e2fc422b91ade00bd92,17179869184.0,0.5287516000383821,0.5289537894577325,
700,6f45052814dd4fd00798d27103a46156,select,1208773679,88095.0,0,0.008322238434354035,0,1,1761900.0,1,4A,,2024-04-14 13:03:32,7.287964780378048e-05,0.0014575929560756095,0.002068252326783868,0.02,True,True,False,False,1,0,normal,immediate,6f45052814dd4fd00798d27103a46156,17179869184.0,0.07730690485024491,0.07793308100159216,1849995.0
634,d3c8ebdf7726a9c36689efbaedfcbe5f,insert,2870988622,0.0,118753,0.004246630961940328,0,1,0.0,1,2A,7A,2024-04-14 13:10:21,0.0,0.0,0.001034126163391934,0.09,False,False,False,False,0,1,normal,immediate,d3c8ebdf7726a9c36689efbaedfcbe5f,17179869184.0,0.1707887559948377,0.17106285430123191,
600,a676600b115872a909e4821ccb79f03a,insert,107675603,0.0,406229,0.007633521871110247,0,1,0.0,2,9A,7A,2024-04-14 13:15:18,0.0,0.0,0.002068252326783868,0.24,False,False,False,False,0,1,normal,immediate,a676600b115872a909e4821ccb79f03a,17179869184.0,0.011497867735383208,0.011215589409976225,
198,2e8c2d5c94f027773cd59868667095d9,insert,951470549,0.0,156351,0.0031219749996023003,0,2,0.0,2,"0A,2A",9A,2024-04-14 13:15:29,0.0,0.0,0.001034126163391934,0.1,False,False,False,False,1,1,normal,immediate,2e8c2d5c94f027773cd59868667095d9,17179869184.0,0.060183556211459106,0.059289111277919325,
210106903c7675f75ac1aa3ec4dbcccb,,select,156351,0.013476448999635557,0,0.006010814511076841,0,2,0.4042934699890667,2,"9A,0A",,2024-04-14 13:15:29,8.619355808172353e-08,2.585806742451706e-06,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,2e8c2d5c94f027773cd59868667095d9,1250000000.0,0.003130488389754356,0.003130488389754356,8184.0
715,cba73aef645fdf397d74d428e9300fb7,insert,3999800088,0.0,250755,0.014405435653717937,0,2,0.0,2,"9A,6A",5A,2024-04-14 13:15:43,0.0,0.0,0.001034126163391934,0.18,False,False,False,False,0,1,normal,immediate,cba73aef645fdf397d74d428e9300fb7,17179869184.0,0.2413611383017403,0.24161627633880098,
963,6551dccad9abcd764036cb335f826546,insert,509795382,0.0,791055,0.002103815664055048,0,2,0.0,2,"9A,0A",7A,2024-04-14 13:15:44,0.0,0.0,0.001034126163391934,0.45,False,False,False,False,0,1,normal,immediate,6551dccad9abcd764036cb335f826546,17179869184.0,0.03227415609875958,0.03265690285845519,
