,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,network_speed,total_runtime,runtime
0,786123a40229d18deef29222cc49a1c9,select,10235443288,2979,0,0.01720347102517239,0,1,59580,1,8A,,2024-04-14 12:15:25,2.910474823784691e-07,5.820949647569382e-06,0.001034126163391934,0.08,True,True,normal,False,False,1,1,immediate,786123a40229d18deef29222cc49a1c9,17179869184.0,0.6083708924397051,0.6079867951058333
1,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538,0,0.009730786268060239,0,2,76140,1,"1A,0A",,2024-04-14 12:15:42,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,normal,False,False,0,1,immediate,89df2c33ce0e4d46cf118748b0df6ad8,17179869184.0,0.32530200169025114,0.3249658034997939
2,63b19168043d79d20218005a3338cf37,select,1479752962,69287,0,0.011253743497622721,0,1,1385740,1,6A,,2024-04-14 12:17:58,4.6823356181259666e-05,0.0009364671236251933,0.001034126163391934,0.03,True,True,normal,False,False,1,1,immediate,63b19168043d79d20218005a3338cf37,17179869184.0,0.09615260096721856,0.09521672164772442
3,8a2f20e7f227c23f95c4597249ae81d4,select,955787310,1413,0,0.012977209061408222,0,1,28260,1,0A,,2024-04-14 12:19:08,1.4783623775042587e-06,2.9567247550085174e-05,0.001034126163391934,0.02,True,True,normal,False,False,1,1,immediate,8a2f20e7f227c23f95c4597249ae81d4,17179869184.0,0.0654083073424393,0.06609401493053868
4,943192c106b81d175d8a9480280b717d,select,10780371948,2635,0,0.016156768601880367,0,1,52700,1,0A,,2024-04-14 12:22:48,2.444257037428891e-07,4.888514074857782e-06,0.001034126163391934,0.08,True,True,normal,False,False,1,1,immediate,943192c106b81d175d8a9480280b717d,17179869184.0,0.6379368384840005,0.6379065030047114
5,6163adee828760dfc69391db7249b39d,select,1173870261,10181,0,0.00405816867627785,0,1,203620,1,8A,,2024-04-14 12:37:42,8.673019786127795e-06,0.00017346039572255592,0.001034126163391934,0.01,True,True,normal,False,False,1,1,immediate,6163adee828760dfc69391db7249b39d,17179869184.0,0.07282535166706268,0.07254121582811802
6,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950,0,0.006549999315489203,0,1,2079000,1,6A,,2024-04-14 12:38:27,0.00011037850295417152,0.0022075700590834307,0.0031023784901758012,0.02,True,True,normal,False,False,1,1,immediate,6f548a390e487af7720fee4d4b771d7d,17179869184.0,0.06345585824830027,0.062462959260400366
7,9d47cf199c599870f935bae5e69c2332,insert,330642101,0,347248,0.005595994842315706,0,2,0,1,"4A,3A",2A,2024-04-14 12:44:50,0.0,0.0,0.002068252326783868,0.2,False,False,normal,True,False,0,0,triggered_by_read,ec03a575bc1856b2487941f530574be5,17179869184.0,0.022341911613719175,0.022341911613719175
8,ec03a575bc1856b2487941f530574be5,select,2554840647,107283,0,0.00781219322087749,0,1,2145671,1,2A,,2024-04-14 12:44:50,4.1992279190070436e-05,0.0008398455838014088,0.002068252326783868,0.03,True,True,normal,False,False,2,1,immediate,ec03a575bc1856b2487941f530574be5,17179869184.0,0.15777695826899976,0.1600681154336772
9,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572,0,0.010625995408751612,0,1,191440,1,1A,,2024-04-14 12:45:02,6.1228789862964625e-06,0.00012245757972592923,0.002068252326783868,0.02,True,True,normal,False,False,1,1,immediate,7c7483072ac8260be91fe3eebda0e4ab,17179869184.0,0.10011651682233472,0.09857660411912662
10,210106903c7675f75ac1aa3ec4dbcccb,select,3062873907,264,0,0.006010814511076841,0,2,7920,1,"9A,0A",,2024-04-14 12:49:14,8.619355808172353e-08,2.585806742451706e-06,0.002068252326783868,0.02,True,True,normal,False,False,1,1,immediate,210106903c7675f75ac1aa3ec4dbcccb,17179869184.0,0.18425491357565102,0.18453128356883852
11,2c800f141d10828469c2dadd59def9c8,select,3561614882,221,0,0.008397116297353818,0,2,6630,1,"3A,2A",,2024-04-14 12:51:59,6.205655477563021e-08,1.8616966432689064e-06,0.0031023784901758012,0.03,True,True,normal,False,False,1,1,immediate,2c800f141d10828469c2dadd59def9c8,17179869184.0,0.21524155363050382,0.21396906770795743
12,6f45052814dd4fd00798d27103a46156,select,1208773679,88095,0,0.008322238434354035,0,1,1761900,1,4A,,2024-04-14 13:03:32,7.287964780378048e-05,0.0014575929560756095,0.002068252326783868,0.02,True,True,normal,False,False,1,1,immediate,6f45052814dd4fd00798d27103a46156,17179869184.0,0.07814359892254338,0.07844403368110493
13,e7a4920641dfd8dabd3cc8fa2e13c876,select,1852232488,715493,0,0.004705739582711503,0,1,14309860,2,3A,,2024-04-14 13:17:00,0.00038628682124703127,0.007725736424940626,0.002068252326783868,0.03,True,True,normal,False,False,1,1,immediate,e7a4920641dfd8dabd3cc8fa2e13c876,17179869184.0,0.12562097875615075,0.12487804169008541
14,2e8c2d5c94f027773cd59868667095d9,insert,951470549,0,156351,0.0031219749996023003,0,2,0,2,"0A,2A",9A,2024-04-14 13:22:14,0.0,0.0,0.001034126163391934,0.1,False,False,normal,True,False,0,0,triggered_by_read,bdc83d416235a709c3865757e1a9a1b8,17179869184.0,0.05707804421113531,0.05707804421113531
15,bdc83d416235a709c3865757e1a9a1b8,select,27894414405,1974,0,0.03369168495395791,0,2,59220,2,"4A,9A",,2024-04-14 13:22:14,7.076725239217937e-08,2.123017571765381e-06,0.0031023784901758012,0.19,True,True,normal,False,False,2,1,immediate,bdc83d416235a709c3865757e1a9a1b8,17179869184.0,1.643816372426185,1.6437493951646778
16,044fb625f7369dbfd1ad466fb7d351d6,select,5627074965,360716,0,0.009644653027665564,0,2,10821480,2,"6A,9A",,2024-04-14 13:23:52,6.410364619501497e-05,0.0019231093858504491,0.002068252326783868,0.05,True,True,normal,False,False,1,1,immediate,044fb625f7369dbfd1ad466fb7d351d6,17179869184.0,0.34424250839053594,0.34338301375881064
17,cdc12fd8fd55061f56a266d29ce95a66,select,7685588816,50203,0,0.016946521018783762,0,1,1004060,2,6A,,2024-04-14 13:28:53,6.53209548440667e-06,0.00013064190968813339,0.001034126163391934,0.06,True,True,normal,False,False,1,1,immediate,cdc12fd8fd55061f56a266d29ce95a66,17179869184.0,0.4597826132909889,0.45940808095871005
18,40849cd78a416f335c34fc08f09293e8,insert,410264418,0,328283,0.009662749322782889,0,1,0,2,8A,9A,2024-04-14 13:32:29,0.0,0.0,0.002068252326783868,0.2,False,False,normal,True,False,0,0,triggered_by_read,2c800f141d10828469c2dadd59def9c8,17179869184.0,0.028993641774744155,0.028993641774744155
19,2c800f141d10828469c2dadd59def9c8,select,0,221,0,0,0,2,6630,2,"6A,9A",,2024-04-14 13:32:29,6.205655477563021e-08,1.8616966432689064e-06,0.0031023784901758012,0.0,False,False,incremental,False,True,1,1,immediate,2c800f141d10828469c2dadd59def9c8,1250000000.0,0.0027140302373485953,0.0034889790401459423
20,f9b552b686ea9b59d82550022d0a2555,select,3481303653,19425,0,0.005291334929592563,0,1,388500,2,6A,,2024-04-14 13:33:59,5.579806284137433e-06,0.00011159612568274865,0.0,0.03,False,False,normal,False,False,0,1,immediate,f9b552b686ea9b59d82550022d0a2555,17179869184.0,0.20717929299085522,0.206890503255133
21,1ab1a5886996556d5489cec8ca89ce50,select,5393205213,1069,0,0.006437162215039687,0,1,21380,2,8A,,2024-04-14 13:35:26,1.9821237237983067e-07,3.9642474475966135e-06,0.002068252326783868,0.04,True,True,normal,False,False,1,1,immediate,1ab1a5886996556d5489cec8ca89ce50,17179869184.0,0.3206904764752931,0.3206370759484447
22,d9701a4d9d60ef35d01810b3aeaaa616,select,4072273687,2309,0,0.006768861351623225,0,1,46184,2,9A,,2024-04-14 13:44:17,5.670725987876956e-07,1.1341451975753912e-05,0.002068252326783868,0.03,True,True,normal,False,False,1,1,immediate,d9701a4d9d60ef35d01810b3aeaaa616,17179869184.0,0.24307735774858433,0.24314793761606876
23,5a8d9bb6fa943cb3e4a2a40fc1415f59,insert,244513865,0,1071955,0.0017714233692110626,0,1,0,2,2A,2A,2024-04-14 13:44:23,0.0,0.0,0.001034126163391934,0.6,False,False,normal,True,False,0,0,triggered_by_read,5376265a8777fbe0ac39fa8482cbcdba,17179869184.0,0.016038251820321373,0.016038251820321373
24,5376265a8777fbe0ac39fa8482cbcdba,select,733450869,389,0,0.0026064059469395524,0,2,11692,2,"6A,2A",,2024-04-14 13:44:23,5.313977769917948e-07,1.5941933309753844e-05,0.002068252326783868,0.01,True,True,normal,False,False,2,1,immediate,5376265a8777fbe0ac39fa8482cbcdba,17179869184.0,0.04897196327019687,0.04852675426475228
25,8b617b8f53a533bacbbeefbdbf42d121,select,4361839852,2625,0,0.010894174866703576,0,1,52500,2,0A,,2024-04-14 13:48:42,6.018102656374189e-07,1.2036205312748378e-05,0.002068252326783868,0.04,True,True,normal,False,False,1,1,immediate,8b617b8f53a533bacbbeefbdbf42d121,17179869184.0,0.26322411911620786,0.2631828171504551
26,a1198d957df20e2fc422b91ade00bd92,insert,8907074523,0,448671,0.018079790984822614,0,1,0,2,2A,5A,2024-04-14 14:06:41,0.0,0.0,0.001034126163391934,0.32,False,False,normal,True,False,0,0,triggered_by_read,dc16417ab87b2a0777293d4fbc06ed9c,17179869184.0,0.5278849219476095,0.5278849219476095
27,d3c8ebdf7726a9c36689efbaedfcbe5f,insert,2870988622,0,118753,0.004246630961940328,0,1,0,2,2A,7A,2024-04-14 14:06:41,0.0,0.0,0.001034126163391934,0.09,False,False,normal,True,False,0,0,triggered_by_read,dc16417ab87b2a0777293d4fbc06ed9c,17179869184.0,0.16933876241112567,0.16933876241112567
28,a676600b115872a909e4821ccb79f03a,insert,107675603,0,406229,0.007633521871110247,0,1,0,2,9A,7A,2024-04-14 14:06:41,0.0,0.0,0.002068252326783868,0.24,False,False,normal,True,False,0,0,triggered_by_read,dc16417ab87b2a0777293d4fbc06ed9c,17179869184.0,0.010432934763517475,0.010432934763517475
29,cba73aef645fdf397d74d428e9300fb7,insert,3999800088,0,250755,0.014405435653717937,0,2,0,2,"9A,6A",5A,2024-04-14 14:06:41,0.0,0.0,0.001034126163391934,0.18,False,False,normal,True,False,0,0,triggered_by_read,dc16417ab87b2a0777293d4fbc06ed9c,17179869184.0,0.2402369249328324,0.2402369249328324
30,6551dccad9abcd764036cb335f826546,insert,509795382,0,791055,0.002103815664055048,0,2,0,2,"9A,0A",7A,2024-04-14 14:06:41,0.0,0.0,0.001034126163391934,0.45,False,False,normal,True,False,0,0,triggered_by_read,dc16417ab87b2a0777293d4fbc06ed9c,17179869184.0,0.03140479402393901,0.03140479402393901
